- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 533
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-12T01:34:05.211514+00:00
Finished (UTC): 2026-07-12T01:34:23.912122+00:00
Duration Seconds: 18.7006
Generated At (UTC): 2026-07-12T01:34:23.912257+00:00

SUMMARY COUNTS
- dropped: 14
- mapped: 5
- merged: 1
- skipped: 167

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 1
- enrich|mapped|enriched: 1
- row_filter|skipped|already_added: 147
- row_filter|skipped|past_release_date: 20
- tmdb_choice|mapped|title_first_match: 2
- tmdb_search|dropped|no_candidates: 14
- write|mapped|marked_added: 1
- [skipped] row_filter | title=et the extra terrestrial | key=3357bfec-66b9-465f-a731-c4812f6b233c | reason=already_added | tmdb=
- [skipped] row_filter | title=evil dead burn | key=7d4a1661-12c0-4fa7-94ae-e6bde26f33e2 | reason=already_added | tmdb=
- [skipped] row_filter | title=focker in law | key=fb0f901f-43d1-4e71-8d97-97dca0ddbfec | reason=already_added | tmdb=
- [skipped] row_filter | title=for the love of a woman | key=62fbaf18-4d07-444a-852e-c036f290f1bb | reason=past_release_date | tmdb=
- [skipped] row_filter | title=forgotten island | key=be107cd4-8e7d-4c32-b5c8-78f0a4ba6980 | reason=already_added | tmdb=
- [skipped] row_filter | title=fuze | key=3b24bfd0-9853-4379-9b21-baaace1f6f9d | reason=already_added | tmdb=
- [skipped] row_filter | title=gatto | key=2dec7745-9b3a-4cd0-af18-01b74645c6d7 | reason=already_added | tmdb=
- [skipped] row_filter | title=gracie and pedro pets to the rescue | key=14792240-97b5-4c92-90ae-269b4309081e | reason=already_added | tmdb=
- [skipped] row_filter | title=gracie pedro pets to the rescue | key=7af33d75-ee0a-4ff0-a722-5ac562c02abe | reason=already_added | tmdb=
- [skipped] row_filter | title=grease | key=5197efca-39c6-46cf-8649-a56fac3dc355 | reason=already_added | tmdb=
- [skipped] row_filter | title=heart of the beast | key=b3ea269f-a5a9-4dba-9b3e-c0d74629747c | reason=already_added | tmdb=
- [skipped] row_filter | title=heaven and earth | key=b73b4801-9227-4d32-8af7-97320f351322 | reason=already_added | tmdb=
