- - -
DATAFLOW SUMMARY
- - -
Name: CinemathequesTmdb
Run ID: 589
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-08-04T01:48:37.263263+00:00
Finished (UTC): 2026-08-04T02:00:24.430569+00:00
Duration Seconds: 707.1673
Generated At (UTC): 2026-08-04T02:00:24.430746+00:00

SUMMARY COUNTS
- dropped: 15
- mapped: 238
- merged: 226

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 226
- group_filter|dropped|skip_token: 1
- tmdb_choice|mapped|director_match: 10
- tmdb_choice|mapped|fallback_first_candidate: 21
- tmdb_choice|mapped|runtime_match: 4
- tmdb_choice|mapped|title_first_match: 184
- tmdb_choice|mapped|tmdb_fix_id_match: 5
- tmdb_choice|mapped|tmdb_fix_override: 3
- tmdb_search|dropped|no_candidates: 14
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

CINEMATHEQUE GROUP DETAILS
- key=ties that bind us | status=mapped | reason=director_match | rep_title=the ties that bind us | rows=5 | parsed_year=2024 | candidates=2 | chosen_tmdb=1096642 | path=director_match
- key=loulou | status=mapped | reason=director_match | rep_title=loulou | rows=2 | parsed_year=1981 | candidates=20 | chosen_tmdb=39415 | path=director_match
- key=once upon a time in china | status=mapped | reason=title_first_match | rep_title=once upon a time in china | rows=1 | parsed_year= | candidates=19 | chosen_tmdb=10617 | path=title_first_match
- key=one eye open | status=mapped | reason=title_first_match | rep_title=one eye open | rows=3 | parsed_year=2026 | candidates=3 | chosen_tmdb=1685091 | path=title_first_match
- key=singin in the rain | status=mapped | reason=title_first_match | rep_title=singin in the rain | rows=2 | parsed_year= | candidates=6 | chosen_tmdb=872 | path=title_first_match
- key=tmdb_fix:1368337 | status=mapped | reason=tmdb_fix_override | rep_title=The Odyssey | rows=13 | parsed_year=2026 | candidates=0 | chosen_tmdb=1368337 | path=tmdb_fix_override
- key=eternal sunshine of the spotless mind | status=mapped | reason=title_first_match | rep_title=eternal sunshine of the spotless mind | rows=2 | parsed_year= | candidates=2 | chosen_tmdb=38 | path=title_first_match
- key=gabbys dollhouse the movie | status=mapped | reason=title_first_match | rep_title=gabbys dollhouse the movie | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=1280282 | path=title_first_match
- key=big league | status=mapped | reason=title_first_match | rep_title=the big league | rows=1 | parsed_year= | candidates=9 | chosen_tmdb=1662814 | path=title_first_match
- key=la la land | status=mapped | reason=title_first_match | rep_title=la la land | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=313369 | path=title_first_match
- key=sheep detectives | status=mapped | reason=title_first_match | rep_title=the sheep detectives | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=1301421 | path=title_first_match
- key=karate kid | status=mapped | reason=title_first_match | rep_title=the karate kid | rows=1 | parsed_year= | candidates=17 | chosen_tmdb=38575 | path=title_first_match
- key=dark knight | status=mapped | reason=title_first_match | rep_title=the dark knight | rows=2 | parsed_year= | candidates=20 | chosen_tmdb=155 | path=title_first_match
- key=superman | status=mapped | reason=tmdb_fix_id_match | rep_title=superman | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1924 | path=tmdb_fix_id_match
- key=my friend eva | status=mapped | reason=title_first_match | rep_title=my friend eva | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=1297953 | path=title_first_match
- key=colours of time | status=mapped | reason=title_first_match | rep_title=colours of time | rows=5 | parsed_year=2025 | candidates=2 | chosen_tmdb=1235304 | path=title_first_match
- key=come drink with me | status=mapped | reason=title_first_match | rep_title=come drink with me | rows=2 | parsed_year=1966 | candidates=1 | chosen_tmdb=26259 | path=title_first_match
- key=house of the babies | status=dropped | reason=no_candidates | rep_title=house of the babies | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=cabaret | status=mapped | reason=title_first_match | rep_title=cabaret | rows=2 | parsed_year= | candidates=20 | chosen_tmdb=10784 | path=title_first_match
- key=little devil | status=mapped | reason=director_match | rep_title=the little devil | rows=1 | parsed_year= | candidates=12 | chosen_tmdb=43645 | path=director_match
- key=emmas shadow | status=mapped | reason=title_first_match | rep_title=emmas shadow | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=76317 | path=title_first_match
- key=princess bride | status=mapped | reason=title_first_match | rep_title=the princess bride | rows=3 | parsed_year=1987 | candidates=4 | chosen_tmdb=2493 | path=title_first_match
- key=valley of the bees | status=mapped | reason=title_first_match | rep_title=the valley of the bees | rows=2 | parsed_year=1968 | candidates=1 | chosen_tmdb=25908 | path=title_first_match
- key=choral | status=mapped | reason=title_first_match | rep_title=the choral | rows=4 | parsed_year=2025 | candidates=12 | chosen_tmdb=1262815 | path=title_first_match
- key=drunken master | status=mapped | reason=title_first_match | rep_title=drunken master | rows=1 | parsed_year= | candidates=19 | chosen_tmdb=11230 | path=title_first_match
