- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 506
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-28T01:28:15.430534+00:00
Finished (UTC): 2026-06-28T01:33:38.065069+00:00
Duration Seconds: 322.6345
Generated At (UTC): 2026-06-28T01:33:38.065273+00:00

SUMMARY COUNTS
- dropped: 8
- mapped: 76
- merged: 60

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 60
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 7
- tmdb_choice|mapped|runtime_match: 5
- tmdb_choice|mapped|title_first_match: 44
- tmdb_choice|mapped|tmdb_fix_id_match: 3
- tmdb_choice|mapped|tmdb_fix_override: 1
- tmdb_search|dropped|no_candidates: 8
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=fleak | status=mapped | reason=title_first_match | rep_title=fleak | rows=3 | parsed_year=2025 | candidates=1 | chosen_tmdb=680770 | path=title_first_match
- key=masters of the universe | status=mapped | reason=title_first_match | rep_title=masters of the universe | rows=14 | parsed_year=2026 | candidates=11 | chosen_tmdb=454639 | path=title_first_match
- key=mandalorian and grogu | status=mapped | reason=title_first_match | rep_title=the mandalorian and grogu | rows=16 | parsed_year=2026 | candidates=1 | chosen_tmdb=1228710 | path=title_first_match
- key=in the grey | status=mapped | reason=title_first_match | rep_title=in the grey | rows=4 | parsed_year=2026 | candidates=20 | chosen_tmdb=1122573 | path=title_first_match
- key=animel farm | status=dropped | reason=no_candidates | rep_title=animel farm | rows=10 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=bear clow camp | status=dropped | reason=no_candidates | rep_title=bear clow camp | rows=15 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=spiked | status=mapped | reason=title_first_match | rep_title=spiked | rows=11 | parsed_year=2025 | candidates=9 | chosen_tmdb=1470334 | path=title_first_match
- key=tasters | status=mapped | reason=title_first_match | rep_title=the tasters | rows=9 | parsed_year=2025 | candidates=2 | chosen_tmdb=1291712 | path=title_first_match
- key=madly | status=mapped | reason=title_first_match | rep_title=madly | rows=1 | parsed_year=2025 | candidates=20 | chosen_tmdb=1500272 | path=title_first_match
- key=fantasy life | status=mapped | reason=director_match | rep_title=fantasy life | rows=5 | parsed_year=2025 | candidates=5 | chosen_tmdb=1421977 | path=director_match
- key=zootopia 2 | status=mapped | reason=title_first_match | rep_title=zootopia 2 | rows=2 | parsed_year=2025 | candidates=1 | chosen_tmdb=1084242 | path=title_first_match
- key=spider man brand new day | status=mapped | reason=title_first_match | rep_title=spider man brand new day | rows=231 | parsed_year=2026 | candidates=1 | chosen_tmdb=969681 | path=title_first_match
- key=movieretro | status=dropped | reason=no_candidates | rep_title=movieretro | rows=5 | parsed_year=1991 | candidates=0 | chosen_tmdb= | path=
- key=super mario galaxy movie | status=mapped | reason=fallback_first_candidate | rep_title=super mario galaxy movie | rows=11 | parsed_year=2026 | candidates=1 | chosen_tmdb=1226863 | path=fallback_first_candidate
- key=scary movie | status=mapped | reason=title_first_match | rep_title=scary movie | rows=38 | parsed_year=2026 | candidates=20 | chosen_tmdb=1273221 | path=title_first_match
- key=for the love of a woman | status=mapped | reason=runtime_match | rep_title=for the love of a woman | rows=51 | parsed_year=2025 | candidates=2 | chosen_tmdb=1143204 | path=runtime_match
- key=animal farm | status=mapped | reason=title_first_match | rep_title=animal farm | rows=11 | parsed_year=2026 | candidates=16 | chosen_tmdb=539745 | path=title_first_match
- key=cocktail 2 | status=mapped | reason=title_first_match | rep_title=cocktail 2 | rows=13 | parsed_year=2026 | candidates=2 | chosen_tmdb=1392469 | path=title_first_match
- key=star wars the mandalorian and grogu | status=mapped | reason=fallback_first_candidate | rep_title=star wars the mandalorian and grogu | rows=1 | parsed_year=2026 | candidates=1 | chosen_tmdb=1228710 | path=fallback_first_candidate
- key=choral | status=mapped | reason=title_first_match | rep_title=the choral | rows=5 | parsed_year=2025 | candidates=11 | chosen_tmdb=1262815 | path=title_first_match
- key=saltiz | status=mapped | reason=runtime_match | rep_title=saltiz | rows=223 | parsed_year=2026 | candidates=1 | chosen_tmdb=1696940 | path=runtime_match
- key=et the extra terrestrial | status=mapped | reason=title_first_match | rep_title=et the extra terrestrial | rows=28 | parsed_year=1982 | candidates=8 | chosen_tmdb=601 | path=title_first_match
- key=four love letters | status=mapped | reason=fallback_first_candidate | rep_title=four love letters | rows=6 | parsed_year=2026 | candidates=1 | chosen_tmdb=1293244 | path=fallback_first_candidate
- key=jerry maguire | status=mapped | reason=title_first_match | rep_title=jerry maguire | rows=27 | parsed_year=1996 | candidates=1 | chosen_tmdb=9390 | path=title_first_match
- key=edward scissorhands | status=mapped | reason=title_first_match | rep_title=edward scissorhands | rows=10 | parsed_year=1990 | candidates=3 | chosen_tmdb=162 | path=title_first_match
- key=forrest gump | status=mapped | reason=title_first_match | rep_title=forrest gump | rows=1 | parsed_year=1994 | candidates=2 | chosen_tmdb=13 | path=title_first_match
- key=taste | status=mapped | reason=runtime_match | rep_title=the taste | rows=10 | parsed_year=2025 | candidates=22 | chosen_tmdb=1291712 | path=runtime_match
- key=batman | status=mapped | reason=title_first_match | rep_title=batman | rows=28 | parsed_year=1989 | candidates=20 | chosen_tmdb=268 | path=title_first_match
- key=hot cinema | status=dropped | reason=no_candidates | rep_title=hot cinema | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=reminders of him | status=mapped | reason=title_first_match | rep_title=reminders of him | rows=6 | parsed_year=2026 | candidates=1 | chosen_tmdb=1367642 | path=title_first_match
- key=pretty woman | status=mapped | reason=title_first_match | rep_title=pretty woman | rows=1 | parsed_year=1990 | candidates=12 | chosen_tmdb=114 | path=title_first_match
- key=comedy bar daniel cohen | status=dropped | reason=no_candidates | rep_title=comedy bar daniel cohen | rows=3 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=hollywood to broadway | status=mapped | reason=fallback_first_candidate | rep_title=hollywood to broadway | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=95554 | path=fallback_first_candidate
- key=moss freud | status=mapped | reason=fallback_first_candidate | rep_title=moss freud | rows=1 | parsed_year=2025 | candidates=1 | chosen_tmdb=1086247 | path=fallback_first_candidate
