- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 513
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-04T01:40:53.982076+00:00
Finished (UTC): 2026-07-04T01:45:54.276358+00:00
Duration Seconds: 300.2943
Generated At (UTC): 2026-07-04T01:45:54.276631+00:00

SUMMARY COUNTS
- dropped: 9
- mapped: 67
- merged: 51

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 51
- tmdb_choice|mapped|director_match: 7
- tmdb_choice|mapped|fallback_first_candidate: 5
- tmdb_choice|mapped|runtime_match: 3
- tmdb_choice|mapped|title_first_match: 36
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 3
- tmdb_search|dropped|no_candidates: 9
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=saltiz | status=mapped | reason=runtime_match | rep_title=saltiz | rows=71 | parsed_year= | candidates=1 | chosen_tmdb=1696940 | path=runtime_match
- key=super mario galaxy | status=mapped | reason=runtime_match | rep_title=super mario galaxy | rows=57 | parsed_year=2026 | candidates=1 | chosen_tmdb=1226863 | path=runtime_match
- key=hoppers | status=mapped | reason=title_first_match | rep_title=hoppers | rows=18 | parsed_year=2026 | candidates=16 | chosen_tmdb=1327819 | path=title_first_match
- key=koln 75 | status=mapped | reason=title_first_match | rep_title=koln 75 | rows=29 | parsed_year= | candidates=1 | chosen_tmdb=1171153 | path=title_first_match
- key=no signal | status=mapped | reason=title_first_match | rep_title=no signal | rows=17 | parsed_year=2025 | candidates=20 | chosen_tmdb=1284787 | path=title_first_match
- key=mandalorian and grogu | status=mapped | reason=title_first_match | rep_title=the mandalorian and grogu | rows=13 | parsed_year=2026 | candidates=1 | chosen_tmdb=1228710 | path=title_first_match
- key=spiked | status=mapped | reason=title_first_match | rep_title=spiked | rows=9 | parsed_year=2025 | candidates=9 | chosen_tmdb=1470334 | path=title_first_match
- key=jungle beat 2 the past | status=mapped | reason=title_first_match | rep_title=jungle beat 2 the past | rows=5 | parsed_year=2025 | candidates=1 | chosen_tmdb=1453180 | path=title_first_match
- key=2planet semi | status=dropped | reason=no_candidates | rep_title=2planet semi | rows=5 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=sheep detectives | status=mapped | reason=title_first_match | rep_title=the sheep detectives | rows=16 | parsed_year=2026 | candidates=1 | chosen_tmdb=1301421 | path=title_first_match
- key=david | status=mapped | reason=title_first_match | rep_title=david | rows=5 | parsed_year=2025 | candidates=24 | chosen_tmdb=1167307 | path=title_first_match
- key=planet semi final | status=dropped | reason=no_candidates | rep_title=planet semi final | rows=5 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=planet bra nor | status=dropped | reason=no_candidates | rep_title=planet bra nor | rows=5 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=backrooms | status=mapped | reason=title_first_match | rep_title=backrooms | rows=42 | parsed_year=2026 | candidates=14 | chosen_tmdb=1083381 | path=title_first_match
- key=fantasy life | status=mapped | reason=director_match | rep_title=fantasy life | rows=5 | parsed_year=2025 | candidates=5 | chosen_tmdb=1421977 | path=director_match
