- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 525
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-10T07:01:55.092790+00:00
Finished (UTC): 2026-07-10T07:05:39.722064+00:00
Duration Seconds: 224.6293
Generated At (UTC): 2026-07-10T07:05:39.722245+00:00

SUMMARY COUNTS
- dropped: 19
- mapped: 69
- merged: 64

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 64
- group_filter|dropped|skip_token: 1
- tmdb_choice|mapped|fallback_first_candidate: 15
- tmdb_choice|mapped|title_first_match: 44
- tmdb_choice|mapped|tmdb_fix_id_match: 4
- tmdb_choice|mapped|tmdb_fix_override: 4
- tmdb_search|dropped|no_candidates: 18
- write|mapped|upserted: 2

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=2planet semi | status=dropped | reason=no_candidates | rep_title=2planet semi | rows=6 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=ties that bind us | status=mapped | reason=title_first_match | rep_title=the ties that bind us | rows=58 | parsed_year= | candidates=2 | chosen_tmdb=1460982 | path=title_first_match
- key=per amore di una donna | status=mapped | reason=fallback_first_candidate | rep_title=per amore di una donna | rows=31 | parsed_year= | candidates=1 | chosen_tmdb=1143204 | path=fallback_first_candidate
- key=shmulikipod | status=dropped | reason=no_candidates | rep_title=shmulikipod | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=drivers ed | status=mapped | reason=title_first_match | rep_title=drivers ed | rows=149 | parsed_year= | candidates=10 | chosen_tmdb=1398050 | path=title_first_match
- key=power ballad | status=mapped | reason=title_first_match | rep_title=power ballad | rows=38 | parsed_year= | candidates=1 | chosen_tmdb=1284016 | path=title_first_match
- key=animal farm | status=mapped | reason=title_first_match | rep_title=animal farm | rows=26 | parsed_year= | candidates=16 | chosen_tmdb=539745 | path=title_first_match
- key=super mario galaxy | status=mapped | reason=fallback_first_candidate | rep_title=super mario galaxy | rows=36 | parsed_year= | candidates=1 | chosen_tmdb=1226863 | path=fallback_first_candidate
- key=three men and vilma | status=mapped | reason=fallback_first_candidate | rep_title=three men and vilma | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=1340922 | path=fallback_first_candidate
- key=no signal | status=mapped | reason=title_first_match | rep_title=no signal | rows=6 | parsed_year= | candidates=20 | chosen_tmdb=1284787 | path=title_first_match
- key=moana | status=mapped | reason=tmdb_fix_id_match | rep_title=moana | rows=7 | parsed_year= | candidates=20 | chosen_tmdb=1108427 | path=tmdb_fix_id_match
- key=planet spa bel | status=dropped | reason=no_candidates | rep_title=planet spa bel | rows=6 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=bear clow camp | status=dropped | reason=no_candidates | rep_title=bear clow camp | rows=7 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=backrooms | status=mapped | reason=title_first_match | rep_title=backrooms | rows=31 | parsed_year= | candidates=16 | chosen_tmdb=1083381 | path=title_first_match
- key=youthful grace | status=mapped | reason=title_first_match | rep_title=youthful grace | rows=31 | parsed_year= | candidates=1 | chosen_tmdb=1319168 | path=title_first_match
- key=walle | status=mapped | reason=fallback_first_candidate | rep_title=walle | rows=10 | parsed_year= | candidates=20 | chosen_tmdb=272877 | path=fallback_first_candidate
- key=minions monsters english | status=dropped | reason=no_candidates | rep_title=minions monsters english | rows=10 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=for the love of a woman | status=mapped | reason=title_first_match | rep_title=for the love of a woman | rows=30 | parsed_year= | candidates=2 | chosen_tmdb=1720712 | path=title_first_match
- key=la grazia | status=mapped | reason=title_first_match | rep_title=la grazia | rows=11 | parsed_year= | candidates=12 | chosen_tmdb=1397364 | path=title_first_match
- key=superman 2 the richard donner cut | status=mapped | reason=fallback_first_candidate | rep_title=superman 2 the richard donner cut | rows=10 | parsed_year= | candidates=1 | chosen_tmdb=624479 | path=fallback_first_candidate
- key=batman | status=mapped | reason=fallback_first_candidate | rep_title=batman | rows=28 | parsed_year= | candidates=20 | chosen_tmdb=272 | path=fallback_first_candidate
- key=mandalorian and grogu | status=mapped | reason=title_first_match | rep_title=the mandalorian and grogu | rows=5 | parsed_year= | candidates=2 | chosen_tmdb=1228710 | path=title_first_match
- key=hoppers | status=mapped | reason=title_first_match | rep_title=hoppers | rows=6 | parsed_year= | candidates=16 | chosen_tmdb=1327819 | path=title_first_match
- key=10 | status=mapped | reason=fallback_first_candidate | rep_title=10 | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=333371 | path=fallback_first_candidate
- key=movieretro | status=dropped | reason=no_candidates | rep_title=movieretro | rows=5 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=tmdb_fix:1339713 | status=mapped | reason=tmdb_fix_override | rep_title=obsession | rows=12 | parsed_year= | candidates=0 | chosen_tmdb=1339713 | path=tmdb_fix_override
- key=superman 1978 | status=dropped | reason=no_candidates | rep_title=superman 1978 | rows=10 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=bitter christmas | status=mapped | reason=title_first_match | rep_title=bitter christmas | rows=14 | parsed_year= | candidates=1 | chosen_tmdb=1088548 | path=title_first_match
- key=super mario galaxy movie | status=mapped | reason=fallback_first_candidate | rep_title=super mario galaxy movie | rows=3 | parsed_year= | candidates=1 | chosen_tmdb=1226863 | path=fallback_first_candidate
- key=dream high | status=mapped | reason=fallback_first_candidate | rep_title=dream high | rows=3 | parsed_year= | candidates=7 | chosen_tmdb=1201328 | path=fallback_first_candidate
- key=edward scissorhands | status=mapped | reason=title_first_match | rep_title=edward scissorhands | rows=10 | parsed_year= | candidates=3 | chosen_tmdb=162 | path=title_first_match
- key=magshimim | status=mapped | reason=fallback_first_candidate | rep_title=magshimim | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1569872 | path=fallback_first_candidate
- key=project hail mary | status=mapped | reason=title_first_match | rep_title=project hail mary | rows=6 | parsed_year= | candidates=2 | chosen_tmdb=687163 | path=title_first_match
- key=five baloons | status=dropped | reason=no_candidates | rep_title=five baloons | rows=2 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=makolet | status=dropped | reason=no_candidates | rep_title=makolet | rows=5 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=comedy bar daniel cohen | status=dropped | reason=no_candidates | rep_title=comedy bar daniel cohen | rows=4 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=grease | status=mapped | reason=title_first_match | rep_title=grease | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=621 | path=title_first_match
- key=planet final | status=dropped | reason=skip_token | rep_title= | rows=6 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=mamma mia | status=mapped | reason=title_first_match | rep_title=mamma mia | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=11631 | path=title_first_match
- key=cocktail 2 | status=mapped | reason=title_first_match | rep_title=cocktail 2 | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=1392469 | path=title_first_match
- key=great lillian hall | status=mapped | reason=title_first_match | rep_title=the great lillian hall | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=800513 | path=title_first_match
- key=muhamad naama | status=dropped | reason=no_candidates | rep_title=muhamad naama | rows=2 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=hot cinema | status=dropped | reason=no_candidates | rep_title=hot cinema | rows=3 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=lion king | status=mapped | reason=title_first_match | rep_title=the lion king | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=8587 | path=title_first_match
- key=devil wears prada | status=mapped | reason=tmdb_fix_id_match | rep_title=the devil wears prada | rows=1 | parsed_year= | candidates=4 | chosen_tmdb=1314481 | path=tmdb_fix_id_match
- key=pretty woman | status=mapped | reason=title_first_match | rep_title=pretty woman | rows=2 | parsed_year= | candidates=12 | chosen_tmdb=114 | path=title_first_match
- key=hollywood to broadway | status=mapped | reason=fallback_first_candidate | rep_title=hollywood to broadway | rows=2 | parsed_year= | candidates=2 | chosen_tmdb=95554 | path=fallback_first_candidate
- key=band together | status=mapped | reason=title_first_match | rep_title=band together | rows=2 | parsed_year= | candidates=10 | chosen_tmdb=1437873 | path=title_first_match
- key=moana live action vos seances en francais du film | status=dropped | reason=no_candidates | rep_title=moana live action vos seances en francais du film | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=forrest gump | status=mapped | reason=title_first_match | rep_title=forrest gump | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=13 | path=title_first_match
- key=colonia 75 | status=mapped | reason=fallback_first_candidate | rep_title=colonia 75 | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1171153 | path=fallback_first_candidate
- key=evil dead burn | status=merged | reason=deduped_into_tmdb | rep_title= | rows=322 | parsed_year= | candidates=0 | chosen_tmdb=1212763 | path=deduped_into_tmdb
- key=saltiz | status=merged | reason=deduped_into_tmdb | rep_title= | rows=479 | parsed_year= | candidates=0 | chosen_tmdb=1696940 | path=deduped_into_tmdb
- key=jackass best and last | status=merged | reason=deduped_into_tmdb | rep_title= | rows=239 | parsed_year= | candidates=0 | chosen_tmdb=1612018 | path=deduped_into_tmdb
- key=toy story 5 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=850 | parsed_year= | candidates=0 | chosen_tmdb=1084244 | path=deduped_into_tmdb
- key=minions monsters | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1207 | parsed_year= | candidates=0 | chosen_tmdb=1315772 | path=deduped_into_tmdb
- key=how to make a killing | status=merged | reason=deduped_into_tmdb | rep_title= | rows=318 | parsed_year= | candidates=0 | chosen_tmdb=467905 | path=deduped_into_tmdb
- key=michael | status=merged | reason=deduped_into_tmdb | rep_title= | rows=41 | parsed_year= | candidates=0 | chosen_tmdb=936075 | path=deduped_into_tmdb
- key=colours of time | status=merged | reason=deduped_into_tmdb | rep_title= | rows=54 | parsed_year= | candidates=0 | chosen_tmdb=1235304 | path=deduped_into_tmdb
- key=i swear | status=merged | reason=deduped_into_tmdb | rep_title= | rows=77 | parsed_year= | candidates=0 | chosen_tmdb=1317149 | path=deduped_into_tmdb
- key=tmdb_fix:1568027 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=66 | parsed_year= | candidates=0 | chosen_tmdb=1568027 | path=deduped_into_tmdb
- key=mama | status=merged | reason=deduped_into_tmdb | rep_title= | rows=102 | parsed_year= | candidates=0 | chosen_tmdb=132232 | path=deduped_into_tmdb
- key=invite | status=merged | reason=deduped_into_tmdb | rep_title= | rows=303 | parsed_year= | candidates=0 | chosen_tmdb=950028 | path=deduped_into_tmdb
- key=spider man brand new day | status=merged | reason=deduped_into_tmdb | rep_title= | rows=321 | parsed_year= | candidates=0 | chosen_tmdb=969681 | path=deduped_into_tmdb
- key=tangled | status=merged | reason=deduped_into_tmdb | rep_title= | rows=30 | parsed_year= | candidates=0 | chosen_tmdb=38757 | path=deduped_into_tmdb
- key=sarah bernhardt la divine | status=merged | reason=deduped_into_tmdb | rep_title= | rows=35 | parsed_year= | candidates=0 | chosen_tmdb=1228322 | path=deduped_into_tmdb
- key=supergirl | status=merged | reason=deduped_into_tmdb | rep_title= | rows=77 | parsed_year= | candidates=0 | chosen_tmdb=1081003 | path=deduped_into_tmdb
