city,chain,address,location
Jerusalem,CC,"Sderot Yitshak Rabin 10",https://maps.app.goo.gl/gidzqRCQgrMaDphF7
Jerusalem,YP,"Naomi Street 4",https://maps.app.goo.gl/E5MNtJ5xPEFyyDPk7
Jerusalem,LC,"Lloyd George Street 4",https://maps.app.goo.gl/CYoVrBYbth9AWDAH6
Rishon Letzion,YP,"HaMea VeEsrim Street 4",https://maps.app.goo.gl/LCtTHFzkRyWAVTHx9
