cinema,date,time,title,snif,type
LC,24-01-02,21:30,Queer,Tel Aviv,R
LC,24-01-02,21:30,Queer,Tel Aviv,R
CC,24-12-24,21:40,9/11: I Was There,Glilot,R
CC,24-12-24,21:10,9/11: I Was There,Rishon Letzion,R
CC,24-12-24,21:50,9/11: I Was There,Rishon Letzion,R
CC,24-12-24,21:20,9/11: I Was There,Jerusalem,R
CC,24-12-24,22:00,9/11: I Was There,Jerusalem,R
CC,24-12-24,21:50,9/11: I Was There,Kfar Saba,R
CC,24-12-24,22:20,9/11: I Was There,Netanya,Prime
CC,24-12-24,22:20,9/11: I Was There,Beer Sheva,R
CC,24-12-24,21:10,9/11: I Was There,Chadera,R
CC,24-12-24,21:30,9/11: I Was There,Ashdod,R
HC,24-12-24,21:40,Absolution,Kiryat Bialik,R
HC,24-12-24,22:00,Absolution,Haifa,R
HC,24-12-24,21:50,And the Party Goes On,Petach Tikvah,R
HC,24-12-24,22:00,And the Party Goes On,Modiin,R
LC,24-12-24,21:15,Anora,Raanana,R
LC,24-12-24,21:30,Anora,Tel Aviv,R
HC,24-12-24,21:00,Anora,Carmiel,R
HC,24-12-24,22:15,Anora,Nahariya,R
HC,24-12-24,21:45,Anora,Modiin,R
HC,24-12-24,21:45,Anora,Rehovot,R
YP,24-12-24,21:20,Anora,Rishon Letzion,R
HC,24-12-24,21:45,Arugam Bay,Kiryat Bialik,R
HC,24-12-24,21:10,Arugam Bay,Haifa,R
HC,24-12-24,22:00,Arugam Bay,Kfar Saba,R
YP,24-12-24,22:00,Cellar Door,Ayalon,R
YP,24-12-24,21:50,Cellar Door,Beer Sheva,R
YP,24-12-24,22:00,Cellar Door,Haifa,R
YP,24-12-24,21:45,Cellar Door,Jerusalem,R
YP,24-12-24,22:00,Cocorico,Jerusalem,R
HC,24-12-24,21:45,Cocorico,Haifa,R
HC,24-12-24,21:00,Cocorico,Kfar Saba,R
LC,24-12-24,21:15,Emilia Pérez,Tel Aviv,R
LC,24-12-24,21:20,Emilia Pérez,Raanana,R
HC,24-12-24,21:20,Emilia Pérez,Petach Tikvah,R
HC,24-12-24,21:30,Emilia Pérez,Modiin,R
ML,24-12-24,22:05,Gladiator II,Haifa,R
ML,24-12-24,21:15,Gladiator II,Netanya,R
HC,24-12-24,22:00,Gladiator II,Haifa,R
HC,24-12-24,21:30,Gladiator II,Modiin,R
YP,24-12-24,21:15,Gladiator II,Rishon Letzion,R
YP,24-12-24,21:45,Gladiator II,Haifa,VIP
RH,24-12-24,21:50,Gladiator II,Givataim,R
HC,24-12-24,21:00,Here,Kiryat Bialik,R
HC,24-12-24,21:30,Here,Haifa,R
ML,24-12-24,21:50,Here Now,Carmiel,UPGRADE
ML,24-12-24,22:25,Here Now,Netanya,R
YP,24-12-24,21:40,Here Now,Ayalon,R
YP,24-12-24,21:30,Here Now,Zichron Yaakov,R
ML,24-12-24,21:25,Heretic,Carmiel,R
ML,24-12-24,21:15,Heretic,Netanya,R
HC,24-12-24,22:05,Heretic,Kiryat Bialik,R
YP,24-12-24,21:20,Heretic,Rishon Letzion,R
YP,24-12-24,22:15,Heretic,Beer Sheva,R
YP,24-12-24,21:15,Io Capitano,Haifa,R
ML,24-12-24,22:05,Kraven the Hunter,Netanya,R
ML,24-12-24,22:25,Kraven the Hunter,Glilot,UPGRADE
CC,24-12-24,21:45,Kraven the Hunter,Rishon Letzion,R
CC,24-12-24,22:00,Kraven the Hunter,Jerusalem,R
CC,24-12-24,22:10,Kraven the Hunter,Beer Sheva,R
CC,24-12-24,21:15,Kraven the Hunter,Chadera,Prime
HC,24-12-24,22:00,Kraven the Hunter,Kiryat Bialik,R
HC,24-12-24,22:10,Kraven the Hunter,Haifa,R
HC,24-12-24,22:00,Kraven the Hunter,Ashkelon,R
YP,24-12-24,21:15,Kraven the Hunter,Rishon Letzion,R
YP,24-12-24,21:30,Kraven the Hunter,Rishon Letzion,R
YP,24-12-24,21:45,Kraven the Hunter,Ayalon,R
YP,24-12-24,21:50,Kraven the Hunter,Beer Sheva,R
YP,24-12-24,21:15,Kraven the Hunter,Haifa,R
YP,24-12-24,22:00,Kraven the Hunter,Haifa,R
YP,24-12-24,21:15,Kraven the Hunter,Haifa,VIP
RH,24-12-24,21:50,Kraven the Hunter,Givataim,R
RH,24-12-24,21:50,Kraven the Hunter,Kiryat Ono,R
HC,24-12-24,21:50,Lee,Haifa,R
HC,24-12-24,21:35,Lee,Kfar Saba,R
HC,24-12-24,21:40,Lee,Petach Tikvah,R
HC,24-12-24,21:00,Lee,Rehovot,R
RH,24-12-24,21:50,Lee,Givataim,R
YP,24-12-24,21:10,"Love, Classified",Ayalon,R
HC,24-12-24,21:00,Matchmaking 2,Modiin,R
YP,24-12-24,22:10,Matchmaking 2,Beer Sheva,R
YP,24-12-24,22:10,Matchmaking 2,Haifa,R
ML,24-12-24,21:55,Moana 2,Carmiel,UPGRADE
ML,24-12-24,21:40,Moana 2,Netanya,R
HC,24-12-24,21:40,Moana 2,Kiryat Bialik,R
HC,24-12-24,21:50,Moana 2,Haifa,R
HC,24-12-24,21:10,Moana 2,Kfar Saba,R
HC,24-12-24,21:45,Moana 2,Rehovot,R
HC,24-12-24,21:20,Moana 2,Ashkelon,R
YP,24-12-24,21:40,Moana 2,Rishon Letzion,R
YP,24-12-24,22:10,Moana 2,Beer Sheva,R
ML,24-12-24,21:40,Mufasa: The Lion King,Carmiel,R
HC,24-12-24,21:40,Mufasa: The Lion King,Carmiel,R
HC,24-12-24,22:05,Mufasa: The Lion King,Nahariya,R
HC,24-12-24,20:50,Mufasa: The Lion King,Kiryat Bialik,R
HC,24-12-24,21:50,Mufasa: The Lion King,Kiryat Bialik,R
HC,24-12-24,21:50,Mufasa: The Lion King,Haifa,R
HC,24-12-24,22:10,Mufasa: The Lion King,Haifa,R
HC,24-12-24,22:40,Mufasa: The Lion King,Haifa,R
HC,24-12-24,21:55,Mufasa: The Lion King,Kfar Saba,R
HC,24-12-24,21:45,Mufasa: The Lion King,Petach Tikvah,R
HC,24-12-24,22:00,Mufasa: The Lion King,Modiin,R
