cinema,date,time,title,snif,type
HC,20/11/2024,14:45,Beetlejuice Beetlejuice,Kiryat Bialik,R
HC,20/11/2024,17:00,Beetlejuice Beetlejuice,Haifa,R
ML,20/11/2024,17:25,Beetlejuice Beetlejuice,Netanya,R
YP,20/11/2024,15:00,Black Tea,Haifa,R
YP,20/11/2024,15:50,Black Tea,Jerusalem,R
LC,20/11/2024,16:30,Come Closer,Tel Aviv,R
YP,20/11/2024,21:50,Come Closer,Jerusalem,R
HC,20/11/2024,16:30,Come Closer,Haifa,R
YP,20/11/2024,17:30,Detroit Reawakening,Rishon Letzion,R
YP,20/11/2024,19:30,Detroit Reawakening,Rishon Letzion,R
YP,20/11/2024,21:30,Detroit Reawakening,Rishon Letzion,R
CC,20/11/2024,16:50,Detroit Reawakening,Glilot,R
CC,20/11/2024,19:10,Detroit Reawakening,Glilot,R
CC,20/11/2024,21:30,Detroit Reawakening,Glilot,R
CC,20/11/2024,20:00,Detroit Reawakening,Rishon Letzion,R
YP,20/11/2024,17:40,Detroit Reawakening,Ayalon,R
YP,20/11/2024,19:40,Detroit Reawakening,Ayalon,R
YP,20/11/2024,21:40,Detroit Reawakening,Ayalon,R
CC,20/11/2024,16:30,Detroit Reawakening,Jerusalem,R
CC,20/11/2024,18:45,Detroit Reawakening,Jerusalem,R
CC,20/11/2024,19:20,Detroit Reawakening,Kfar Saba,R
CC,20/11/2024,14:50,Detroit Reawakening,Kfar Saba,Prime
CC,20/11/2024,19:00,Detroit Reawakening,Netanya,R
YP,20/11/2024,17:20,Detroit Reawakening,Beer Sheva,R
YP,20/11/2024,19:30,Detroit Reawakening,Beer Sheva,R
YP,20/11/2024,21:45,Detroit Reawakening,Beer Sheva,R
CC,20/11/2024,16:00,Detroit Reawakening,Beer Sheva,R
CC,20/11/2024,18:30,Detroit Reawakening,Beer Sheva,R
YP,20/11/2024,17:30,Detroit Reawakening,Zichron Yaakov,R
YP,20/11/2024,19:30,Detroit Reawakening,Zichron Yaakov,R
YP,20/11/2024,21:30,Detroit Reawakening,Zichron Yaakov,R
CC,20/11/2024,18:50,Detroit Reawakening,Chadera,Prime
CC,20/11/2024,19:10,Detroit Reawakening,Ashdod,R
YP,20/11/2024,17:40,Detroit Reawakening,Haifa,R
YP,20/11/2024,19:40,Detroit Reawakening,Haifa,R
YP,20/11/2024,21:40,Detroit Reawakening,Haifa,R
YP,20/11/2024,18:15,Detroit Reawakening,Jerusalem,R
YP,20/11/2024,20:15,Detroit Reawakening,Jerusalem,R
YP,20/11/2024,22:05,Detroit Reawakening,Jerusalem,R
HC,20/11/2024,19:40,Detroit Reawakening,Kiryat Bialik,R
HC,20/11/2024,19:15,Detroit Reawakening,Haifa,R
ML,20/11/2024,19:55,Detroit Reawakening,Netanya,R
ML,20/11/2024,22:10,Detroit Reawakening,Netanya,R
YP,20/11/2024,17:10,Elevation 2001: U2 Live from Boston,Rishon Letzion,R
YP,20/11/2024,19:10,Elevation 2001: U2 Live from Boston,Rishon Letzion,R
YP,20/11/2024,21:10,Elevation 2001: U2 Live from Boston,Rishon Letzion,R
YP,20/11/2024,18:00,Elevation 2001: U2 Live from Boston,Ayalon,R
YP,20/11/2024,20:00,Elevation 2001: U2 Live from Boston,Ayalon,R
YP,20/11/2024,22:00,Elevation 2001: U2 Live from Boston,Ayalon,R
YP,20/11/2024,17:00,Elevation 2001: U2 Live from Boston,Beer Sheva,R
YP,20/11/2024,19:15,Elevation 2001: U2 Live from Boston,Beer Sheva,R
YP,20/11/2024,21:30,Elevation 2001: U2 Live from Boston,Beer Sheva,R
YP,20/11/2024,17:30,Elevation 2001: U2 Live from Boston,Haifa,R
YP,20/11/2024,19:30,Elevation 2001: U2 Live from Boston,Haifa,R
YP,20/11/2024,21:30,Elevation 2001: U2 Live from Boston,Haifa,R
