- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 461
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-02T01:26:12.120151+00:00
Finished (UTC): 2026-06-02T01:26:31.787229+00:00
Duration Seconds: 19.6671
Generated At (UTC): 2026-06-02T01:26:31.788659+00:00

SUMMARY COUNTS
- dropped: 12
- mapped: 11
- merged: 3
- skipped: 142

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 3
- enrich|mapped|enriched: 3
- row_filter|skipped|already_added: 79
- row_filter|skipped|past_release_date: 62
- row_filter|skipped|skip_token: 1
- tmdb_choice|mapped|director_match: 4
- tmdb_choice|mapped|fallback_first_candidate: 2
- tmdb_search|dropped|no_candidates: 12
- [skipped] row_filter | title=four letters of love | key=bfd53e38-80cb-40ab-8d91-5bf9110cd1a2 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=four love letters | key=1bb00fc8-fbb3-4af4-a3ba-b398aa5c1e67 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=grease | key=860aac4e-35e6-45c7-8873-0127162d2612 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=heaven and earth | key=b73b4801-9227-4d32-8af7-97320f351322 | reason=already_added | tmdb=
- [skipped] row_filter | title=hokum | key=eabf4661-e2c3-4c21-bffe-13e5e40e55c1 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=hotel transylvania | key=e3e0cea0-778d-4e6f-be1a-2fd4b9620e01 | reason=already_added | tmdb=
- [skipped] row_filter | title=how to make a killing | key=a6b2f2aa-3213-42c0-8210-e007cbbe88be | reason=already_added | tmdb=
- [skipped] row_filter | title=i swear | key=077c9f44-87fd-4cfa-b134-2c21be153b91 | reason=already_added | tmdb= x3
- [skipped] row_filter | title=in the grey | key=63d0e1e2-6f64-4577-a983-bdc8468c3241 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=insidious out of the further | key=fa7827a1-6466-463b-8ca1-aaf337fd6e83 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=investment generation | key=f81597a7-ccaa-4834-b52f-6d39b114fdd2 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=iron maiden burning ambition | key=017fcfed-ef37-42f4-97a8-acf6b518793d | reason=past_release_date | tmdb=
- [dropped] tmdb_search | title=its family fing business il | key=913d0e8f-d473-4c82-8196-70b58cdea916 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=jackass best and last | key=608dd858-1bc5-4a37-acd6-5039bb0df63b | reason=already_added | tmdb=
- [skipped] row_filter | title=jerry maguire | key=f0002149-97d7-4c69-a5cb-f449b1cdb0f1 | reason=already_added | tmdb=
- [skipped] row_filter | title=just an illusion | key=9c85612a-1e11-497b-bf89-bb4fcd8c7557 | reason=already_added | tmdb=
- [skipped] row_filter | title=just an illusion | key=7c6cbbeb-0020-47a2-8299-4781f967eb78 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=kidnapped | key=8d7b568e-2e15-4c1d-b2b3-4e7026586ce7 | reason=already_added | tmdb=
