- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 622
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-09-04T11:27:34.272481+00:00
Finished (UTC): 2026-09-04T11:29:12.292232+00:00
Duration Seconds: 98.0198
Generated At (UTC): 2026-09-04T11:29:12.292311+00:00

SUMMARY COUNTS
- dropped: 11
- mapped: 70
- merged: 22
- skipped: 143

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 22
- enrich|mapped|enriched: 22
- row_filter|skipped|already_added: 134
- row_filter|skipped|past_release_date: 7
- row_filter|skipped|skip_token: 2
- tmdb_choice|mapped|fallback_first_candidate: 18
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 22
- tmdb_search|dropped|no_candidates: 11
- write|mapped|marked_added: 1
- write|mapped|upserted: 1

- [merged] dedupe | title=ebenezer | key=d5df4144-f5aa-4dcb-b21c-e18430b69d8c | reason=deduped_into_tmdb | tmdb=1567605
- [mapped] enrich | title=Ebenezer | key=d5df4144-f5aa-4dcb-b21c-e18430b69d8c | reason=enriched | tmdb=1567605
- [mapped] tmdb_choice | title=ebenezer | key=d5df4144-f5aa-4dcb-b21c-e18430b69d8c | reason=title_first_match | tmdb=1567605 x2
- [skipped] row_filter | title=ebenezer a christmas carol | key=843e7cec-961e-401e-8808-000a6241966d | reason=already_added | tmdb=
- [skipped] row_filter | title=end of oak street | key=24b29eb6-3831-405f-96eb-cf8af20eab70 | reason=already_added | tmdb=
- [skipped] row_filter | title=fall 2 | key=1f4183e0-ea14-43f5-85f1-33bb41208e20 | reason=already_added | tmdb=
- [skipped] row_filter | title=fall 2 deadpoint | key=f135b8df-8ab8-4a3a-9ed1-c928ac9fd8b7 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=fast and the furious 25th anniversary | key=a268fe3f-c34d-4abe-ac29-1fa4c004e8c2 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=fast furious | key=f8dc57e1-bcad-42bd-97ca-4cf68257dd2d | reason=already_added | tmdb=
- [skipped] row_filter | title=fatherland | key=8a1de5b1-644a-4911-8d80-e9dd732b969e | reason=already_added | tmdb=
- [skipped] row_filter | title=fjord | key=8a47ed60-407e-4489-ba29-e52ed740e49b | reason=already_added | tmdb=
- [skipped] row_filter | title=focker in law | key=fb0f901f-43d1-4e71-8d97-97dca0ddbfec | reason=already_added | tmdb=
- [skipped] row_filter | title=forgotten island | key=be107cd4-8e7d-4c32-b5c8-78f0a4ba6980 | reason=already_added | tmdb=
- [skipped] row_filter | title=fuze | key=3b24bfd0-9853-4379-9b21-baaace1f6f9d | reason=already_added | tmdb=
- [skipped] row_filter | title=gatto | key=2dec7745-9b3a-4cd0-af18-01b74645c6d7 | reason=already_added | tmdb=
- [skipped] row_filter | title=ghostbusters | key=25373abd-271d-4cee-ba93-75ab6f8708ed | reason=already_added | tmdb=
- [skipped] row_filter | title=grease | key=5197efca-39c6-46cf-8649-a56fac3dc355 | reason=already_added | tmdb=
- [skipped] row_filter | title=heart of the beast | key=b3ea269f-a5a9-4dba-9b3e-c0d74629747c | reason=already_added | tmdb=
- [skipped] row_filter | title=her private hell | key=ac635345-20d6-4b6e-bad3-c70b8058648d | reason=already_added | tmdb=
- [dropped] tmdb_search | title=hershy | key=19e1bece-f1f7-464f-b8e6-21f4544b762c | reason=no_candidates | tmdb=
- [skipped] row_filter | title=hexed | key=8b0d5b79-e06b-495e-ab5b-5a07b232d6a0 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=hill 338 | key=00eb0ece-15af-4418-8e51-050a143771ea | reason=already_added | tmdb=
- [skipped] row_filter | title=homo sapiens | key=bd3668bb-f205-4d32-9361-851e76f83acb | reason=already_added | tmdb=
- [skipped] row_filter | title=how to make a killing | key=a6b2f2aa-3213-42c0-8210-e007cbbe88be | reason=already_added | tmdb=
- [skipped] row_filter | title=how to rob a bank | key=1bd0852c-4462-4b3e-a139-99cdd5f0f9d6 | reason=already_added | tmdb=
- [skipped] row_filter | title=ice age boiling point | key=2d856a90-8fe4-42bb-b131-1b57f3dc4bc3 | reason=already_added | tmdb=
- [skipped] row_filter | title=ice cream man | key=739e1f02-3b32-44d8-97b0-49a818ccfc63 | reason=already_added | tmdb=
- [skipped] row_filter | title=idiots | key=de08a146-582f-419f-9f13-19a42e5981f4 | reason=already_added | tmdb=
- [skipped] row_filter | title=IN THE HELL OF KABUL: 13 DAYS, 13 NIGHTS | key=7ca016e0-055f-45d9-9da9-ffac26828684 | reason=already_added | tmdb=
- [skipped] row_filter | title=independence day | key=aa36da09-832c-425c-8319-8faa4719d36b | reason=already_added | tmdb=
- [skipped] row_filter | title=insidious out of the further | key=fa7827a1-6466-463b-8ca1-aaf337fd6e83 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=investment generation | key=acc33409-6427-4466-9c17-c318013b3779 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=it takes two to tango | key=7fb061a2-e62c-422c-9de8-ccf89a047b5e | reason=already_added | tmdb=
- [merged] dedupe | title=jim queen | key=0a001eb5-f272-4564-a428-f84c4486af4d | reason=deduped_into_tmdb | tmdb=1061798
- [mapped] enrich | title=Jim Queen | key=0a001eb5-f272-4564-a428-f84c4486af4d | reason=enriched | tmdb=1061798
- [mapped] tmdb_choice | title=jim queen | key=0a001eb5-f272-4564-a428-f84c4486af4d | reason=title_first_match | tmdb=1061798 x2
- [skipped] row_filter | title=jumanji open world | key=4eae7dff-1dca-4ad2-8902-afb1d48758ec | reason=already_added | tmdb= x2
- [skipped] row_filter | title=la boheme | key=6bf9c266-50ed-4362-8c84-f3d16f6d923d | reason=already_added | tmdb= x2
- [skipped] row_filter | title=la la land 10th anniversary | key=9d73f035-0005-4a60-9df0-47dea7fd94f9 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=la traviata | key=2c1f1206-e3c2-4283-852f-36f6f6186e65 | reason=already_added | tmdb= x3
- [dropped] tmdb_search | title=land of someitmes | key=3d08a60a-f33e-4094-8e91-a86e901120f0 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=let it rain | key=2fd09e2d-74a4-4af6-b904-5bdbe4872189 | reason=already_added | tmdb=
- [skipped] row_filter | title=leviticus | key=271498aa-ee38-4cd8-98a9-3e72f9a3d504 | reason=already_added | tmdb=
- [skipped] row_filter | title=live | key=0b339046-f210-4bd8-941b-22c70b4508df | reason=already_added | tmdb=
- [skipped] row_filter | title=mad max 2 the road warrior | key=c35e71ff-8d6e-4cef-b6d4-897a186db95a | reason=already_added | tmdb=
- [dropped] tmdb_search | title=magical band | key=d5efcf15-a40b-4790-8a0c-65b22cb13710 | reason=no_candidates | tmdb=
