- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 601
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-08-14T01:39:14.314233+00:00
Finished (UTC): 2026-08-14T01:46:24.480967+00:00
Duration Seconds: 430.1667
Generated At (UTC): 2026-08-14T01:46:24.481116+00:00

SUMMARY COUNTS
- dropped: 18
- mapped: 127
- merged: 100

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 100
- group_filter|dropped|skip_token: 4
- tmdb_choice|mapped|director_match: 4
- tmdb_choice|mapped|fallback_first_candidate: 19
- tmdb_choice|mapped|runtime_match: 5
- tmdb_choice|mapped|title_first_match: 69
- tmdb_choice|mapped|tmdb_fix_id_match: 8
- tmdb_choice|mapped|tmdb_fix_override: 8
- tmdb_search|dropped|no_candidates: 14
- write|mapped|marked_added: 6
- write|mapped|upserted: 8

COMING SOONS DETAILS
- (none)

CINEMATHEQUE GROUP DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=ties that bind us | status=mapped | reason=runtime_match | rep_title=the ties that bind us | rows=4 | parsed_year=2024 | candidates=2 | chosen_tmdb=1096642 | path=runtime_match
- key=tmdb_fix:1683714 | status=mapped | reason=tmdb_fix_override | rep_title=American Hina | rows=22 | parsed_year=2026 | candidates=0 | chosen_tmdb=1683714 | path=tmdb_fix_override
- key=sweetheart | status=mapped | reason=title_first_match | rep_title=sweetheart | rows=53 | parsed_year=2025 | candidates=20 | chosen_tmdb=1510325 | path=title_first_match
- key=i swear | status=mapped | reason=title_first_match | rep_title=i swear | rows=9 | parsed_year=2025 | candidates=20 | chosen_tmdb=1317149 | path=title_first_match
- key=colours of time | status=mapped | reason=title_first_match | rep_title=colours of time | rows=15 | parsed_year=2025 | candidates=2 | chosen_tmdb=1235304 | path=title_first_match
- key=dream high | status=mapped | reason=title_first_match | rep_title=dream high | rows=29 | parsed_year=2026 | candidates=7 | chosen_tmdb=1569872 | path=title_first_match
- key=stitch head | status=mapped | reason=title_first_match | rep_title=stitch head | rows=98 | parsed_year=2025 | candidates=1 | chosen_tmdb=1214130 | path=title_first_match
- key=brief affair | status=mapped | reason=title_first_match | rep_title=a brief affair | rows=1 | parsed_year=2025 | candidates=2 | chosen_tmdb=1299382 | path=title_first_match
- key=pirate water park | status=dropped | reason=skip_token | rep_title= | rows=55 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=my one and only | status=mapped | reason=title_first_match | rep_title=my one and only | rows=171 | parsed_year=2025 | candidates=9 | chosen_tmdb=1509959 | path=title_first_match
- key=superman 2 the richard donner cut | status=mapped | reason=runtime_match | rep_title=superman 2 the richard donner cut | rows=11 | parsed_year=2006 | candidates=1 | chosen_tmdb=624479 | path=runtime_match
- key=50 | status=mapped | reason=fallback_first_candidate | rep_title=50 | rows=30 | parsed_year=1976 | candidates=20 | chosen_tmdb=25305 | path=fallback_first_candidate
- key=mamma mia | status=mapped | reason=title_first_match | rep_title=mamma mia | rows=3 | parsed_year=2008 | candidates=20 | chosen_tmdb=11631 | path=title_first_match
- key=saltiz | status=mapped | reason=director_match | rep_title=saltiz | rows=217 | parsed_year=2026 | candidates=1 | chosen_tmdb=1696940 | path=director_match
- key=ghostbusters | status=mapped | reason=title_first_match | rep_title=ghostbusters | rows=10 | parsed_year=1984 | candidates=20 | chosen_tmdb=620 | path=title_first_match
- key=school of magical animals | status=mapped | reason=runtime_match | rep_title=school of magical animals | rows=14 | parsed_year=2024 | candidates=5 | chosen_tmdb=1181765 | path=runtime_match
- key=few good men | status=mapped | reason=title_first_match | rep_title=a few good men | rows=30 | parsed_year=1992 | candidates=4 | chosen_tmdb=881 | path=title_first_match
- key=tangled | status=mapped | reason=title_first_match | rep_title=tangled | rows=31 | parsed_year=2010 | candidates=20 | chosen_tmdb=38757 | path=title_first_match
- key=five baloons | status=dropped | reason=no_candidates | rep_title=five baloons | rows=3 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=la boheme | status=mapped | reason=title_first_match | rep_title=la boheme | rows=10 | parsed_year=2026 | candidates=20 | chosen_tmdb=1621710 | path=title_first_match
- key=taxi driver | status=mapped | reason=title_first_match | rep_title=taxi driver | rows=9 | parsed_year=1976 | candidates=20 | chosen_tmdb=103 | path=title_first_match
- key=diamonds | status=mapped | reason=title_first_match | rep_title=diamonds | rows=2 | parsed_year=2024 | candidates=20 | chosen_tmdb=1299046 | path=title_first_match
- key=sentimental value | status=mapped | reason=title_first_match | rep_title=sentimental value | rows=29 | parsed_year=2025 | candidates=4 | chosen_tmdb=1124566 | path=title_first_match
- key=masha and the bear wonder park | status=mapped | reason=title_first_match | rep_title=masha and the bear wonder park | rows=6 | parsed_year=2026 | candidates=1 | chosen_tmdb=1388440 | path=title_first_match
- key=muhamad naama | status=dropped | reason=no_candidates | rep_title=muhamad naama | rows=2 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=tmdb_fix:1924 | status=mapped | reason=tmdb_fix_override | rep_title=Superman - 1978 | rows=3 | parsed_year=1978 | candidates=0 | chosen_tmdb=1924 | path=tmdb_fix_override
- key=lion king | status=mapped | reason=title_first_match | rep_title=the lion king | rows=2 | parsed_year=1994 | candidates=20 | chosen_tmdb=8587 | path=title_first_match
