- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 522
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-10T01:47:45.300820+00:00
Finished (UTC): 2026-07-10T01:54:03.562648+00:00
Duration Seconds: 378.2618
Generated At (UTC): 2026-07-10T01:54:03.562916+00:00

SUMMARY COUNTS
- dropped: 18
- mapped: 78
- merged: 59

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 59
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 8
- tmdb_choice|mapped|runtime_match: 4
- tmdb_choice|mapped|title_first_match: 41
- tmdb_choice|mapped|tmdb_fix_id_match: 4
- tmdb_choice|mapped|tmdb_fix_override: 3
- tmdb_search|dropped|no_candidates: 18
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=power ballad | status=mapped | reason=title_first_match | rep_title=power ballad | rows=78 | parsed_year=2026 | candidates=1 | chosen_tmdb=1284016 | path=title_first_match
- key=mandalorian and grogu | status=mapped | reason=title_first_match | rep_title=the mandalorian and grogu | rows=5 | parsed_year=2026 | candidates=2 | chosen_tmdb=1228710 | path=title_first_match
- key=colours of time | status=mapped | reason=title_first_match | rep_title=colours of time | rows=54 | parsed_year=2025 | candidates=2 | chosen_tmdb=1235304 | path=title_first_match
- key=no signal | status=mapped | reason=title_first_match | rep_title=no signal | rows=6 | parsed_year=2025 | candidates=20 | chosen_tmdb=1284787 | path=title_first_match
- key=magshimim | status=mapped | reason=fallback_first_candidate | rep_title=magshimim | rows=1 | parsed_year=2026 | candidates=1 | chosen_tmdb=1569872 | path=fallback_first_candidate
- key=project hail mary | status=mapped | reason=title_first_match | rep_title=project hail mary | rows=6 | parsed_year=2026 | candidates=2 | chosen_tmdb=687163 | path=title_first_match
- key=animel farm | status=dropped | reason=no_candidates | rep_title=animel farm | rows=6 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=scary movie | status=mapped | reason=title_first_match | rep_title=scary movie | rows=41 | parsed_year=2026 | candidates=20 | chosen_tmdb=1273221 | path=title_first_match
- key=sheep detectives | status=mapped | reason=title_first_match | rep_title=the sheep detectives | rows=9 | parsed_year=2026 | candidates=1 | chosen_tmdb=1301421 | path=title_first_match
- key=la grazia | status=mapped | reason=title_first_match | rep_title=la grazia | rows=11 | parsed_year=2025 | candidates=12 | chosen_tmdb=1397364 | path=title_first_match
- key=dream high | status=mapped | reason=title_first_match | rep_title=dream high | rows=3 | parsed_year=2026 | candidates=7 | chosen_tmdb=1569872 | path=title_first_match
- key=bitter christmas | status=mapped | reason=title_first_match | rep_title=bitter christmas | rows=14 | parsed_year=2026 | candidates=1 | chosen_tmdb=1088548 | path=title_first_match
- key=minions monsters english | status=dropped | reason=no_candidates | rep_title=minions monsters english | rows=10 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=three men and vilma | status=mapped | reason=fallback_first_candidate | rep_title=three men and vilma | rows=2 | parsed_year=2025 | candidates=1 | chosen_tmdb=1340922 | path=fallback_first_candidate
- key=band together | status=mapped | reason=title_first_match | rep_title=band together | rows=2 | parsed_year=2025 | candidates=10 | chosen_tmdb=1437873 | path=title_first_match
- key=colonia 75 | status=mapped | reason=fallback_first_candidate | rep_title=colonia 75 | rows=1 | parsed_year=2025 | candidates=1 | chosen_tmdb=1171153 | path=fallback_first_candidate
- key=tangled | status=mapped | reason=title_first_match | rep_title=tangled | rows=23 | parsed_year=2010 | candidates=20 | chosen_tmdb=38757 | path=title_first_match
- key=pirate water park | status=dropped | reason=no_candidates | rep_title=pirate water park | rows=84 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=pretty woman | status=mapped | reason=title_first_match | rep_title=pretty woman | rows=2 | parsed_year=1990 | candidates=12 | chosen_tmdb=114 | path=title_first_match
- key=comedy bar daniel cohen | status=dropped | reason=no_candidates | rep_title=comedy bar daniel cohen | rows=1 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=spider man brand new day | status=mapped | reason=title_first_match | rep_title=spider man brand new day | rows=247 | parsed_year=2026 | candidates=1 | chosen_tmdb=969681 | path=title_first_match
- key=cocktail 2 | status=mapped | reason=title_first_match | rep_title=cocktail 2 | rows=1 | parsed_year=2026 | candidates=2 | chosen_tmdb=1392469 | path=title_first_match
- key=for the love of a woman | status=mapped | reason=runtime_match | rep_title=for the love of a woman | rows=25 | parsed_year=2025 | candidates=2 | chosen_tmdb=1143204 | path=runtime_match
- key=moana | status=mapped | reason=tmdb_fix_id_match | rep_title=moana | rows=5 | parsed_year=2026 | candidates=20 | chosen_tmdb=1108427 | path=tmdb_fix_id_match
- key=get out | status=mapped | reason=title_first_match | rep_title=the get out | rows=70 | parsed_year=2026 | candidates=20 | chosen_tmdb=1279493 | path=title_first_match
- key=batman | status=mapped | reason=title_first_match | rep_title=batman | rows=27 | parsed_year=1989 | candidates=20 | chosen_tmdb=268 | path=title_first_match
- key=superman 1978 | status=dropped | reason=no_candidates | rep_title=superman 1978 | rows=8 | parsed_year=1978 | candidates=0 | chosen_tmdb= | path=
- key=animal farm | status=mapped | reason=title_first_match | rep_title=animal farm | rows=26 | parsed_year=2026 | candidates=16 | chosen_tmdb=539745 | path=title_first_match
- key=welcome to the jungle | status=mapped | reason=title_first_match | rep_title=welcome to the jungle | rows=15 | parsed_year=2026 | candidates=9 | chosen_tmdb=1169516 | path=title_first_match
- key=et the extra terrestrial | status=mapped | reason=title_first_match | rep_title=et the extra terrestrial | rows=15 | parsed_year=1982 | candidates=8 | chosen_tmdb=601 | path=title_first_match
- key=muhamad naama | status=dropped | reason=no_candidates | rep_title=muhamad naama | rows=2 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=great lillian hall | status=mapped | reason=fallback_first_candidate | rep_title=the great lillian hall | rows=2 | parsed_year=2025 | candidates=1 | chosen_tmdb=800513 | path=fallback_first_candidate
- key=superman 2 the richard donner cut | status=mapped | reason=runtime_match | rep_title=superman 2 the richard donner cut | rows=8 | parsed_year=2006 | candidates=1 | chosen_tmdb=624479 | path=runtime_match
- key=edward scissorhands | status=mapped | reason=title_first_match | rep_title=edward scissorhands | rows=6 | parsed_year=1990 | candidates=3 | chosen_tmdb=162 | path=title_first_match
- key=walle | status=mapped | reason=title_first_match | rep_title=walle | rows=7 | parsed_year=2008 | candidates=20 | chosen_tmdb=10681 | path=title_first_match
- key=mamma mia | status=mapped | reason=title_first_match | rep_title=mamma mia | rows=1 | parsed_year=2008 | candidates=20 | chosen_tmdb=11631 | path=title_first_match
- key=10 | status=mapped | reason=fallback_first_candidate | rep_title=10 | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=333371 | path=fallback_first_candidate
- key=hot cinema | status=dropped | reason=no_candidates | rep_title=hot cinema | rows=2 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=makolet | status=dropped | reason=no_candidates | rep_title=makolet | rows=5 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=devil wears prada | status=mapped | reason=tmdb_fix_id_match | rep_title=the devil wears prada | rows=1 | parsed_year=2018 | candidates=4 | chosen_tmdb=1314481 | path=tmdb_fix_id_match
- key=lion king | status=mapped | reason=title_first_match | rep_title=the lion king | rows=1 | parsed_year=1994 | candidates=20 | chosen_tmdb=8587 | path=title_first_match
- key=shmulikipod | status=dropped | reason=no_candidates | rep_title=shmulikipod | rows=1 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=five baloons | status=dropped | reason=no_candidates | rep_title=five baloons | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=spiderman brand new day | status=mapped | reason=fallback_first_candidate | rep_title=spiderman brand new day | rows=244 | parsed_year= | candidates=1 | chosen_tmdb=969681 | path=fallback_first_candidate
- key=mandalorian grogu | status=mapped | reason=runtime_match | rep_title=the mandalorian grogu | rows=6 | parsed_year= | candidates=2 | chosen_tmdb=1228710 | path=runtime_match
- key=tmdb_fix:1108427 | status=mapped | reason=tmdb_fix_override | rep_title=moana live action | rows=150 | parsed_year=2026 | candidates=0 | chosen_tmdb=1108427 | path=tmdb_fix_override
- key=tmdb_fix:1368337 | status=mapped | reason=tmdb_fix_override | rep_title=the odyssey | rows=52 | parsed_year=2026 | candidates=0 | chosen_tmdb=1368337 | path=tmdb_fix_override
- key=tmdb_fix:1339713 | status=mapped | reason=tmdb_fix_override | rep_title=obsession | rows=12 | parsed_year=2025 | candidates=0 | chosen_tmdb=1339713 | path=tmdb_fix_override
- key=movieretro | status=dropped | reason=no_candidates | rep_title=movieretro | rows=5 | parsed_year=1991 | candidates=0 | chosen_tmdb= | path=
- key=saltiz | status=merged | reason=deduped_into_tmdb | rep_title= | rows=400 | parsed_year= | candidates=0 | chosen_tmdb=1696940 | path=deduped_into_tmdb
- key=minions monsters | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1577 | parsed_year= | candidates=0 | chosen_tmdb=1315772 | path=deduped_into_tmdb
