- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 453
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-05-26T15:52:05.607715+00:00
Finished (UTC): 2026-05-26T15:59:11.762439+00:00
Duration Seconds: 426.1547
Generated At (UTC): 2026-05-26T15:59:11.762659+00:00

SUMMARY COUNTS
- dropped: 9
- mapped: 101
- merged: 80

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 80
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 10
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 61
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 4
- tmdb_search|dropped|no_candidates: 9
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=david | status=mapped | reason=title_first_match | rep_title=david | rows=88 | parsed_year=2025 | candidates=24 | chosen_tmdb=1167307 | path=title_first_match
- key=normal | status=mapped | reason=fallback_first_candidate | rep_title=normal | rows=55 | parsed_year=2025 | candidates=24 | chosen_tmdb=1285728 | path=fallback_first_candidate
- key=reminders of him | status=mapped | reason=title_first_match | rep_title=reminders of him | rows=99 | parsed_year=2026 | candidates=1 | chosen_tmdb=1367642 | path=title_first_match
- key=bad boy and me 2 | status=mapped | reason=director_match | rep_title=the bad boy and me 2 | rows=122 | parsed_year=2025 | candidates=2 | chosen_tmdb=1429520 | path=director_match
- key=last whale singer | status=mapped | reason=fallback_first_candidate | rep_title=the last whale singer | rows=191 | parsed_year=2025 | candidates=1 | chosen_tmdb=677558 | path=fallback_first_candidate
- key=great lillian hall | status=mapped | reason=director_match | rep_title=the great lillian hall | rows=95 | parsed_year=2025 | candidates=1 | chosen_tmdb=800513 | path=director_match
- key=spiked | status=mapped | reason=title_first_match | rep_title=spiked | rows=176 | parsed_year=2025 | candidates=9 | chosen_tmdb=1470334 | path=title_first_match
- key=substance | status=mapped | reason=title_first_match | rep_title=the substance | rows=1 | parsed_year=2024 | candidates=13 | chosen_tmdb=933260 | path=title_first_match
- key=comedy bar daniel cohen | status=dropped | reason=no_candidates | rep_title=comedy bar daniel cohen | rows=1 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=leave one day | status=mapped | reason=title_first_match | rep_title=leave one day | rows=13 | parsed_year=2025 | candidates=1 | chosen_tmdb=1277884 | path=title_first_match
- key=mummy | status=mapped | reason=runtime_match | rep_title=the mummy | rows=19 | parsed_year=2026 | candidates=20 | chosen_tmdb=1304313 | path=runtime_match
- key=no signal | status=mapped | reason=title_first_match | rep_title=no signal | rows=19 | parsed_year=2025 | candidates=20 | chosen_tmdb=1284787 | path=title_first_match
- key=mother mary | status=mapped | reason=title_first_match | rep_title=mother mary | rows=22 | parsed_year=2026 | candidates=16 | chosen_tmdb=1102883 | path=title_first_match
- key=my friend eva | status=mapped | reason=title_first_match | rep_title=my friend eva | rows=106 | parsed_year=2025 | candidates=1 | chosen_tmdb=1297953 | path=title_first_match
- key=fifth element | status=mapped | reason=title_first_match | rep_title=the fifth element | rows=9 | parsed_year=1997 | candidates=2 | chosen_tmdb=18 | path=title_first_match
- key=eden | status=mapped | reason=tmdb_fix_id_match | rep_title=eden | rows=66 | parsed_year=2024 | candidates=24 | chosen_tmdb=1042834 | path=tmdb_fix_id_match
- key=hot cinema | status=dropped | reason=no_candidates | rep_title=hot cinema | rows=3 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=pirates of the caribbean the curse of the black p | status=mapped | reason=runtime_match | rep_title=pirates of the caribbean the curse of the black p | rows=1 | parsed_year=2003 | candidates=2 | chosen_tmdb=22 | path=runtime_match
- key=billie eilish hit me hard and soft the tour 3d | status=mapped | reason=runtime_match | rep_title=billie eilish hit me hard and soft the tour 3d | rows=9 | parsed_year=2026 | candidates=1 | chosen_tmdb=1515899 | path=runtime_match
