- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 572
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-24T01:50:14.205296+00:00
Finished (UTC): 2026-07-24T01:50:35.128761+00:00
Duration Seconds: 20.9235
Generated At (UTC): 2026-07-24T01:50:35.130525+00:00

SUMMARY COUNTS
- dropped: 12
- mapped: 8
- merged: 2
- skipped: 164

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 2
- enrich|mapped|enriched: 2
- row_filter|skipped|already_added: 111
- row_filter|skipped|past_release_date: 52
- row_filter|skipped|skip_token: 1
- tmdb_choice|mapped|title_first_match: 4
- tmdb_search|dropped|no_candidates: 12
- write|mapped|marked_added: 1
- [skipped] row_filter | title=gracie and pedro pets to the rescue | key=14792240-97b5-4c92-90ae-269b4309081e | reason=already_added | tmdb=
- [skipped] row_filter | title=gracie pedro pets to the rescue | key=7af33d75-ee0a-4ff0-a722-5ac562c02abe | reason=already_added | tmdb=
- [skipped] row_filter | title=grease | key=5197efca-39c6-46cf-8649-a56fac3dc355 | reason=already_added | tmdb=
- [skipped] row_filter | title=heart of the beast | key=b3ea269f-a5a9-4dba-9b3e-c0d74629747c | reason=already_added | tmdb=
- [skipped] row_filter | title=hexed | key=8b0d5b79-e06b-495e-ab5b-5a07b232d6a0 | reason=already_added | tmdb=
- [skipped] row_filter | title=hill 338 | key=00eb0ece-15af-4418-8e51-050a143771ea | reason=already_added | tmdb=
- [skipped] row_filter | title=hollywood to broadway | key=42fd51de-ea08-4fb3-850a-8e41c1735ea9 | reason=already_added | tmdb=
- [skipped] row_filter | title=how to make a killing | key=a6b2f2aa-3213-42c0-8210-e007cbbe88be | reason=already_added | tmdb=
- [skipped] row_filter | title=how to rob a bank | key=1bd0852c-4462-4b3e-a139-99cdd5f0f9d6 | reason=already_added | tmdb=
- [skipped] row_filter | title=i swear | key=6b2fa965-a7b4-43b5-940c-584b6d467ab7 | reason=past_release_date | tmdb= x2
- [skipped] row_filter | title=i want your sex | key=5eec3749-4829-402e-8f6a-39f010252244 | reason=already_added | tmdb=
- [skipped] row_filter | title=ice age boiling point | key=2d856a90-8fe4-42bb-b131-1b57f3dc4bc3 | reason=already_added | tmdb=
- [skipped] row_filter | title=ice cream man | key=739e1f02-3b32-44d8-97b0-49a818ccfc63 | reason=already_added | tmdb=
- [skipped] row_filter | title=idiots | key=b12f1c35-f08c-4ff7-b5ab-3daddd2f570c | reason=already_added | tmdb=
- [dropped] tmdb_search | title=in the hell of kabul 13 days 13 nights | key=8b63db9a-1903-4973-9765-0d3a0e077531 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=insidious out of the further | key=fa7827a1-6466-463b-8ca1-aaf337fd6e83 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=investment generation | key=f7d29fbe-bb2f-46d8-bac7-2aef1d082aa7 | reason=no_candidates | tmdb=
- [dropped] tmdb_search | title=its family fing business il | key=13f9969f-1a03-40e1-9a87-997cd92db8d7 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=jackass best and last | key=608dd858-1bc5-4a37-acd6-5039bb0df63b | reason=past_release_date | tmdb=
- [skipped] row_filter | title=jerry maguire | key=f0002149-97d7-4c69-a5cb-f449b1cdb0f1 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=just an illusion | key=0c8aefa4-1ccc-4b97-9dda-bd82e64e2f80 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=just an illusion | key=f09204be-ce76-4a5c-aafc-f1d0ff154011 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=Kupa Rashit | key=32da53de-0502-4d03-aaa3-9e821f26f673 | reason=already_added | tmdb=
- [skipped] row_filter | title=kupa rashit traduis en francais | key=2ec6f810-b744-4715-9010-5f24cf3116ba | reason=past_release_date | tmdb=
- [skipped] row_filter | title=let it rain | key=2fd09e2d-74a4-4af6-b904-5bdbe4872189 | reason=already_added | tmdb=
- [skipped] row_filter | title=magshimim | key=7b60ce54-cb9b-44ad-90db-ba36719434d9 | reason=already_added | tmdb=
- [skipped] row_filter | title=makolet | key=9b0ea295-0aff-4b04-b5f8-9b25a76acf79 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=mama | key=e5827c08-c4e8-4584-a904-25ea22636bed | reason=past_release_date | tmdb=
- [skipped] row_filter | title=mamma mia | key=be7a120b-f778-4f76-8e0e-9de860b88802 | reason=already_added | tmdb=
- [skipped] row_filter | title=marsupilami | key=3df12017-6058-4eb3-ac56-321909793fa1 | reason=already_added | tmdb=
- [skipped] row_filter | title=masha the bear wonder park | key=50c337cb-eb43-42a4-a3bc-37e73be37b86 | reason=already_added | tmdb=
- [skipped] row_filter | title=minions monsters | key=030862ba-46bd-4f78-bd2a-846750e9edc4 | reason=past_release_date | tmdb= x3
- [skipped] row_filter | title=minions monsters english | key=4a713281-1a3a-463e-9978-2fdfabf11341 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=moana | key=78edb321-ced0-4ba8-b4bc-c82966e56455 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=moana live action | key=7e582958-f8b3-4f08-824d-4ecf7c2fc3e1 | reason=past_release_date | tmdb= x2
- [skipped] row_filter | title=moana live action vos seances en francais du film | key=5d377ffc-ccc3-4bf1-a24d-4e5d1e5a08fc | reason=past_release_date | tmdb=
- [skipped] row_filter | title=motor city | key=b979e394-55c6-4e85-a1ef-de98fa412ccc | reason=already_added | tmdb=
