showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,Disclosure Day,התגלית,,,,,,,,,2026-06-10,,145,All,,Cinema City,470
,The Tasters,אל שולחנו של הזאב,,,,,,,,,2026-06-11,,123,12+,,Cinema City,470
,שמיים וארץ,שמיים וארץ,,,,,,,,,2026-06-11,,106,,,Cinema City,470
,קופה ראשית: הסרט,קופה ראשית: הסרט,,,,,,,,,2026-06-17,,91,All,,Cinema City,470
,12 שעות באוקטובר,12 שעות באוקטובר,,,,,,,,,2026-06-17,,80,,,Cinema City,470
,תמונות יפואיות 2,תמונות יפואיות 2,,,,,,,,,2026-06-17,,87,,,Cinema City,470
,Three Men and Vilma,"שלג, גברים וצרות אחרות",,,,,,,,,2026-06-18,,92,All,,Cinema City,470
,BAMBI: The Reckoning,במבי-הנקמה,,,,,,,,,2026-06-18,,80,,,Cinema City,470
,Toy Story 5,צעצוע של סיפור 5,,,,,,,,,2026-06-18,,120,,,Cinema City,470
,שחר ליבנה - מופע חי!,שחר ליבנה - מופע חי!,,,,,,,,,2026-06-21,,90,,,Cinema City,470
,כנס משתחררות ומשתחררים 2026,כנס משתחררות ומשתחררים 2026,,,,,,,,,2026-06-23,,300,18+,,Cinema City,470
,I Swear,מילה שלי,,,,,,,,,2026-06-25,,120,12+,,Cinema City,470
,Tuner,המכוון,,,,,,,,,2026-06-25,,109,,,Cinema City,470
,Supergirl,סופרגירל,,,,,,,,,2026-06-25,,130,,,Cinema City,470
,מכולת,מכולת,,,,,,,,,2026-07-02,,86,,,Cinema City,470
,Minions & Monsters,מיניונים ומפלצות,,,,,,,,,2026-07-02,,130,,,Cinema City,470
,מופע - טוויסט & שאוט - מחווה ללהיטי שנות,מופע - טוויסט & שאוט - מחווה ללהיטי שנות,,,,,,,,,2026-07-02,,75,All,,Cinema City,470
,The Get Out,לצאת מהמשחק,,,,,,,,,2026-07-02,,101,,,Cinema City,470
,מאמא,מאמא,,,,,,,,,2026-07-09,,93,12+,,Cinema City,470
,EVIL DEAD BURN,מוות אכזרי אש,,,,,,,,,2026-07-09,,130,,,Cinema City,470
,The Christophers,הכריסטופרים,,,,,,,,,2026-07-09,,100,,,Cinema City,470
,Moana (Live Action),מואנה (לייב אקשן),,,,,,,,,2026-07-09,,130,,,Cinema City,470
,חינה אמריקאית,חינה אמריקאית,,,,,,,,,2026-07-09,,89,,,Cinema City,470
,THE ODYSSEY,האודיסאה,,,,,,,,,2026-07-16,,130,,,Cinema City,470
,Cuz You're Ugly,כי את מכוערת,,,,,,,,,2026-07-23,,83,12+,,Cinema City,470
,Primavera,פרימוורה,,,,,,,,,2026-07-23,,110,12+,,Cinema City,470
,תלתלית וזוקו במופע החדש: קיץ של מתנות,תלתלית וזוקו במופע החדש: קיץ של מתנות,,,,,,,,,2026-07-25,,55,All,,Cinema City,470
,SPIDERMAN: BRAND NEW DAY,ספיידרמן: יום חדש,,,,,,,,,2026-07-29,,130,,,Cinema City,470
,סרט כחול לבן,סרט כחול לבן,,,,,,,,,2026-07-30,,86,,,Cinema City,470
,הצגת ילדים - בת הים הקטנה,הצגת ילדים - בת הים הקטנה,,,,,,,,,2026-08-09,,90,All,,Cinema City,470
,How To Make a Killing,עשיר רצח,,,,,,,,,2026-08-13,,105,,,Cinema City,470
,נתי הגעתי - היפיפייה הנרדמת - הפקת ענק ח,נתי הגעתי - היפיפייה הנרדמת - הפקת ענק ח,,,,,,,,,2026-08-24,,90,All,,Cinema City,470
,דור ההשקעות | Investment Generation – בה,דור ההשקעות | Investment Generation – בה,,,,,,,,,2026-09-17,,240,All,,Cinema City,470
,Resident Evil,האויב שבפנים,,,,,,,,,2026-09-17,,130,,,Cinema City,470
,Verity,תעתוע,,,,,,,,,2026-10-01,,130,,,Cinema City,470
,"IN THE HELL OF KABUL: 13 DAYS, 13 NIGHTS",הבריחה מקאבול,,,,,,,,,2026-10-08,,112,All,,Cinema City,470
,The Cat In The Hat,חתול תעלול,,,,,,,,,2026-11-05,,130,,,Cinema City,470
,The Hunger Games: Sunrise on the Reaping,משחקי הרעב: זריחה על האסיף,,,,,,,,,2026-11-19,,130,,,Cinema City,470
,Avengers: Doomsday,"הנוקמים: עלייתו של ד""ר דום",,,,,,,,,2026-12-17,,130,,,Cinema City,470
