- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 614
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-08-27T01:40:05.088984+00:00
Finished (UTC): 2026-08-27T01:40:46.973991+00:00
Duration Seconds: 41.885
Generated At (UTC): 2026-08-27T01:40:46.974218+00:00

SUMMARY COUNTS
- dropped: 11
- mapped: 23
- merged: 7
- skipped: 138

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 7
- enrich|mapped|enriched: 7
- row_filter|skipped|already_added: 130
- row_filter|skipped|past_release_date: 8
- tmdb_choice|mapped|fallback_first_candidate: 2
- tmdb_choice|mapped|title_first_match: 12
- tmdb_search|dropped|no_candidates: 11
- write|mapped|marked_added: 1
- [mapped] enrich | title=Hershey | key=3a730348-71a9-4e2e-9b7c-7b29431f792a | reason=enriched | tmdb=1461490
- [mapped] tmdb_choice | title=hershey | key=3a730348-71a9-4e2e-9b7c-7b29431f792a | reason=title_first_match | tmdb=1461490 x2
- [skipped] row_filter | title=hexed | key=8b0d5b79-e06b-495e-ab5b-5a07b232d6a0 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=hill 338 | key=00eb0ece-15af-4418-8e51-050a143771ea | reason=already_added | tmdb=
- [skipped] row_filter | title=hollywood to broadway | key=42fd51de-ea08-4fb3-850a-8e41c1735ea9 | reason=already_added | tmdb=
- [skipped] row_filter | title=homo sapiens | key=bd3668bb-f205-4d32-9361-851e76f83acb | reason=already_added | tmdb=
- [skipped] row_filter | title=how to make a killing | key=a6b2f2aa-3213-42c0-8210-e007cbbe88be | reason=already_added | tmdb=
- [skipped] row_filter | title=how to rob a bank | key=1bd0852c-4462-4b3e-a139-99cdd5f0f9d6 | reason=already_added | tmdb=
- [skipped] row_filter | title=i want your sex | key=5eec3749-4829-402e-8f6a-39f010252244 | reason=already_added | tmdb=
- [skipped] row_filter | title=ice age boiling point | key=2d856a90-8fe4-42bb-b131-1b57f3dc4bc3 | reason=already_added | tmdb=
- [skipped] row_filter | title=ice cream man | key=739e1f02-3b32-44d8-97b0-49a818ccfc63 | reason=already_added | tmdb=
- [skipped] row_filter | title=idiots | key=de08a146-582f-419f-9f13-19a42e5981f4 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=in the hell of kabul 13 days 13 nights | key=7a79e88a-be55-4751-b625-6be2efb2c316 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=independence day | key=aa36da09-832c-425c-8319-8faa4719d36b | reason=already_added | tmdb=
- [skipped] row_filter | title=insidious out of the further | key=fa7827a1-6466-463b-8ca1-aaf337fd6e83 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=investment generation | key=5e0b7e29-0b87-43c7-bc68-6183189a8393 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=it takes two to tango | key=7fb061a2-e62c-422c-9de8-ccf89a047b5e | reason=already_added | tmdb=
- [skipped] row_filter | title=its family fing business il | key=d55f8836-41cf-41fc-acd6-654dd7d4d410 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=jumanji open world | key=4eae7dff-1dca-4ad2-8902-afb1d48758ec | reason=already_added | tmdb= x2
- [skipped] row_filter | title=la boheme | key=6bf9c266-50ed-4362-8c84-f3d16f6d923d | reason=already_added | tmdb= x2
- [skipped] row_filter | title=la la land 10th anniversary | key=9d73f035-0005-4a60-9df0-47dea7fd94f9 | reason=past_release_date | tmdb=
- [merged] dedupe | title=la traviata | key=2c1f1206-e3c2-4283-852f-36f6f6186e65 | reason=deduped_into_tmdb | tmdb=381916
- [mapped] enrich | title=La Traviata | key=2c1f1206-e3c2-4283-852f-36f6f6186e65 | reason=enriched | tmdb=381916
- [skipped] row_filter | title=la traviata | key=c22c1295-64b0-44f7-8029-3dfbabe3dece | reason=already_added | tmdb=
- [mapped] tmdb_choice | title=la traviata | key=2c1f1206-e3c2-4283-852f-36f6f6186e65 | reason=fallback_first_candidate | tmdb=381916 x2
- [skipped] row_filter | title=let it rain | key=2fd09e2d-74a4-4af6-b904-5bdbe4872189 | reason=already_added | tmdb=
- [skipped] row_filter | title=leviticus | key=271498aa-ee38-4cd8-98a9-3e72f9a3d504 | reason=already_added | tmdb=
- [skipped] row_filter | title=live | key=0b339046-f210-4bd8-941b-22c70b4508df | reason=already_added | tmdb=
- [skipped] row_filter | title=mad max 2 the road warrior | key=c35e71ff-8d6e-4cef-b6d4-897a186db95a | reason=already_added | tmdb=
- [skipped] row_filter | title=mamma mia | key=be7a120b-f778-4f76-8e0e-9de860b88802 | reason=already_added | tmdb=
- [skipped] row_filter | title=marsupilami | key=3df12017-6058-4eb3-ac56-321909793fa1 | reason=already_added | tmdb=
- [skipped] row_filter | title=motor city | key=b979e394-55c6-4e85-a1ef-de98fa412ccc | reason=already_added | tmdb=
