- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 452
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-05-26T01:25:16.622502+00:00
Finished (UTC): 2026-05-26T01:32:38.526283+00:00
Duration Seconds: 441.9038
Generated At (UTC): 2026-05-26T01:32:38.526496+00:00

SUMMARY COUNTS
- dropped: 9
- mapped: 100
- merged: 81

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 81
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 10
- tmdb_choice|mapped|runtime_match: 7
- tmdb_choice|mapped|title_first_match: 59
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 4
- tmdb_search|dropped|no_candidates: 9
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=in the grey | status=mapped | reason=title_first_match | rep_title=in the grey | rows=485 | parsed_year=2026 | candidates=20 | chosen_tmdb=1122573 | path=title_first_match
- key=nino | status=mapped | reason=title_first_match | rep_title=nino | rows=51 | parsed_year=2025 | candidates=24 | chosen_tmdb=1313229 | path=title_first_match
- key=reminders of him | status=mapped | reason=title_first_match | rep_title=reminders of him | rows=97 | parsed_year=2026 | candidates=1 | chosen_tmdb=1367642 | path=title_first_match
- key=super mario galaxy | status=mapped | reason=fallback_first_candidate | rep_title=super mario galaxy | rows=514 | parsed_year=2026 | candidates=1 | chosen_tmdb=1226863 | path=fallback_first_candidate
- key=two women | status=mapped | reason=title_first_match | rep_title=two women | rows=17 | parsed_year=2025 | candidates=20 | chosen_tmdb=1073588 | path=title_first_match
- key=hoppers | status=mapped | reason=title_first_match | rep_title=hoppers | rows=91 | parsed_year=2026 | candidates=16 | chosen_tmdb=1327819 | path=title_first_match
- key=four love letters | status=mapped | reason=fallback_first_candidate | rep_title=four love letters | rows=69 | parsed_year=2026 | candidates=1 | chosen_tmdb=1293244 | path=fallback_first_candidate
- key=project hail mary | status=mapped | reason=title_first_match | rep_title=project hail mary | rows=186 | parsed_year=2026 | candidates=1 | chosen_tmdb=687163 | path=title_first_match
- key=passanger | status=mapped | reason=fallback_first_candidate | rep_title=passanger | rows=146 | parsed_year=2026 | candidates=1 | chosen_tmdb=1637792 | path=fallback_first_candidate
- key=fifth element | status=mapped | reason=title_first_match | rep_title=the fifth element | rows=9 | parsed_year=1997 | candidates=2 | chosen_tmdb=18 | path=title_first_match
- key=mummy | status=mapped | reason=runtime_match | rep_title=the mummy | rows=3 | parsed_year=2026 | candidates=20 | chosen_tmdb=1304313 | path=runtime_match
- key=xxx return of xander cage | status=mapped | reason=title_first_match | rep_title=xxx return of xander cage | rows=19 | parsed_year=2017 | candidates=1 | chosen_tmdb=47971 | path=title_first_match
- key=eden | status=mapped | reason=tmdb_fix_id_match | rep_title=eden | rows=76 | parsed_year=2024 | candidates=24 | chosen_tmdb=1042834 | path=tmdb_fix_id_match
- key=goat | status=mapped | reason=title_first_match | rep_title=goat | rows=59 | parsed_year=2026 | candidates=20 | chosen_tmdb=1297842 | path=title_first_match
- key=stolen girl | status=mapped | reason=title_first_match | rep_title=stolen girl | rows=233 | parsed_year=2025 | candidates=2 | chosen_tmdb=1280450 | path=title_first_match
- key=bohemian rhapsody | status=mapped | reason=title_first_match | rep_title=bohemian rhapsody | rows=11 | parsed_year=2018 | candidates=6 | chosen_tmdb=424694 | path=title_first_match
- key=leave one day | status=mapped | reason=title_first_match | rep_title=leave one day | rows=21 | parsed_year=2025 | candidates=1 | chosen_tmdb=1277884 | path=title_first_match
- key=haute couture | status=mapped | reason=title_first_match | rep_title=haute couture | rows=1 | parsed_year=2021 | candidates=14 | chosen_tmdb=719463 | path=title_first_match
- key=hot cinema | status=dropped | reason=no_candidates | rep_title=hot cinema | rows=3 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=david | status=mapped | reason=title_first_match | rep_title=david | rows=48 | parsed_year=2025 | candidates=24 | chosen_tmdb=1167307 | path=title_first_match
- key=late shift | status=mapped | reason=title_first_match | rep_title=late shift | rows=65 | parsed_year=2025 | candidates=4 | chosen_tmdb=1356670 | path=title_first_match
- key=how to train your dragon the hidden world | status=mapped | reason=title_first_match | rep_title=how to train your dragon the hidden world | rows=32 | parsed_year=2019 | candidates=1 | chosen_tmdb=166428 | path=title_first_match
- key=great lillian hall | status=mapped | reason=director_match | rep_title=the great lillian hall | rows=43 | parsed_year=2025 | candidates=1 | chosen_tmdb=800513 | path=director_match
- key=no signal | status=mapped | reason=title_first_match | rep_title=no signal | rows=21 | parsed_year=2025 | candidates=20 | chosen_tmdb=1284787 | path=title_first_match
- key=choral | status=mapped | reason=title_first_match | rep_title=the choral | rows=203 | parsed_year=2025 | candidates=11 | chosen_tmdb=1262815 | path=title_first_match
- key=spiked | status=mapped | reason=title_first_match | rep_title=spiked | rows=79 | parsed_year=2025 | candidates=9 | chosen_tmdb=1470334 | path=title_first_match
- key=hokum | status=mapped | reason=title_first_match | rep_title=hokum | rows=180 | parsed_year=2026 | candidates=6 | chosen_tmdb=1430077 | path=title_first_match
- key=american hina | status=mapped | reason=fallback_first_candidate | rep_title=american hina | rows=1 | parsed_year=2026 | candidates=1 | chosen_tmdb=1683714 | path=fallback_first_candidate
- key=slumdog millionaire | status=mapped | reason=title_first_match | rep_title=slumdog millionaire | rows=9 | parsed_year=2008 | candidates=1 | chosen_tmdb=12405 | path=title_first_match
- key=7 scream | status=mapped | reason=tmdb_fix_override | rep_title=7 scream | rows=10 | parsed_year=2026 | candidates=0 | chosen_tmdb=1159559 | path=tmdb_fix_override
- key=grease | status=mapped | reason=title_first_match | rep_title=grease | rows=10 | parsed_year=1978 | candidates=20 | chosen_tmdb=621 | path=title_first_match
- key=freuds last session | status=mapped | reason=title_first_match | rep_title=freuds last session | rows=13 | parsed_year=2023 | candidates=1 | chosen_tmdb=1025491 | path=title_first_match
- key=night of the hunted | status=mapped | reason=title_first_match | rep_title=night of the hunted | rows=10 | parsed_year=2023 | candidates=3 | chosen_tmdb=1160003 | path=title_first_match
- key=substance | status=mapped | reason=title_first_match | rep_title=the substance | rows=1 | parsed_year=2024 | candidates=13 | chosen_tmdb=933260 | path=title_first_match
- key=queen mom | status=mapped | reason=title_first_match | rep_title=queen mom | rows=3 | parsed_year=2025 | candidates=6 | chosen_tmdb=1063873 | path=title_first_match
