- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 505
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-27T01:43:40.080147+00:00
Finished (UTC): 2026-06-27T01:49:35.378606+00:00
Duration Seconds: 355.2985
Generated At (UTC): 2026-06-27T01:49:35.378820+00:00

SUMMARY COUNTS
- dropped: 11
- mapped: 89
- merged: 67

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 67
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 9
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 52
- tmdb_choice|mapped|tmdb_fix_id_match: 3
- tmdb_choice|mapped|tmdb_fix_override: 1
- tmdb_search|dropped|no_candidates: 11
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=black box | status=mapped | reason=director_match | rep_title=black box | rows=237 | parsed_year=2026 | candidates=20 | chosen_tmdb=1321008 | path=director_match
- key=great lillian hall | status=mapped | reason=director_match | rep_title=the great lillian hall | rows=37 | parsed_year=2025 | candidates=1 | chosen_tmdb=800513 | path=director_match
- key=michael | status=mapped | reason=title_first_match | rep_title=michael | rows=197 | parsed_year=2026 | candidates=20 | chosen_tmdb=936075 | path=title_first_match
- key=hoppers | status=mapped | reason=title_first_match | rep_title=hoppers | rows=42 | parsed_year=2026 | candidates=16 | chosen_tmdb=1327819 | path=title_first_match
- key=for the love of a woman | status=mapped | reason=runtime_match | rep_title=for the love of a woman | rows=85 | parsed_year=2025 | candidates=2 | chosen_tmdb=1143204 | path=runtime_match
- key=backrooms | status=mapped | reason=title_first_match | rep_title=backrooms | rows=67 | parsed_year=2026 | candidates=12 | chosen_tmdb=1083381 | path=title_first_match
- key=last whale singer | status=mapped | reason=fallback_first_candidate | rep_title=the last whale singer | rows=30 | parsed_year=2025 | candidates=2 | chosen_tmdb=677558 | path=fallback_first_candidate
- key=mandalorian grogu | status=mapped | reason=runtime_match | rep_title=the mandalorian grogu | rows=13 | parsed_year= | candidates=1 | chosen_tmdb=1228710 | path=runtime_match
- key=spiked | status=mapped | reason=title_first_match | rep_title=spiked | rows=45 | parsed_year=2025 | candidates=9 | chosen_tmdb=1470334 | path=title_first_match
- key=scary movie | status=mapped | reason=title_first_match | rep_title=scary movie | rows=64 | parsed_year=2026 | candidates=20 | chosen_tmdb=1273221 | path=title_first_match
- key=sentimental value | status=mapped | reason=title_first_match | rep_title=sentimental value | rows=130 | parsed_year=2025 | candidates=4 | chosen_tmdb=1124566 | path=title_first_match
- key=goat | status=mapped | reason=title_first_match | rep_title=goat | rows=14 | parsed_year=2026 | candidates=20 | chosen_tmdb=1297842 | path=title_first_match
- key=colours of time | status=mapped | reason=title_first_match | rep_title=colours of time | rows=86 | parsed_year=2025 | candidates=2 | chosen_tmdb=1235304 | path=title_first_match
- key=not without hope | status=mapped | reason=title_first_match | rep_title=not without hope | rows=5 | parsed_year=2025 | candidates=1 | chosen_tmdb=339849 | path=title_first_match
- key=kupa rashit traduis en francais | status=dropped | reason=no_candidates | rep_title=kupa rashit traduis en francais | rows=12 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=stolen girl | status=mapped | reason=title_first_match | rep_title=stolen girl | rows=8 | parsed_year= | candidates=2 | chosen_tmdb=1280450 | path=title_first_match
- key=three men and vilma | status=mapped | reason=director_match | rep_title=three men and vilma | rows=78 | parsed_year=2025 | candidates=1 | chosen_tmdb=1340922 | path=director_match
- key=sheep detectives | status=mapped | reason=title_first_match | rep_title=the sheep detectives | rows=34 | parsed_year=2026 | candidates=1 | chosen_tmdb=1301421 | path=title_first_match
- key=ilanot | status=mapped | reason=title_first_match | rep_title=ilanot | rows=8 | parsed_year= | candidates=1 | chosen_tmdb=1663161 | path=title_first_match
- key=koln 75 | status=mapped | reason=title_first_match | rep_title=koln 75 | rows=93 | parsed_year=2025 | candidates=1 | chosen_tmdb=1171153 | path=title_first_match
- key=tasters | status=mapped | reason=title_first_match | rep_title=the tasters | rows=11 | parsed_year=2025 | candidates=2 | chosen_tmdb=1291712 | path=title_first_match
- key=four letters of love | status=mapped | reason=title_first_match | rep_title=four letters of love | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=1293244 | path=title_first_match
- key=masters of the universe | status=mapped | reason=title_first_match | rep_title=masters of the universe | rows=27 | parsed_year=2026 | candidates=11 | chosen_tmdb=454639 | path=title_first_match
- key=project hail mary | status=mapped | reason=title_first_match | rep_title=project hail mary | rows=10 | parsed_year=2026 | candidates=1 | chosen_tmdb=687163 | path=title_first_match
- key=passenger | status=mapped | reason=title_first_match | rep_title=passenger | rows=2 | parsed_year= | candidates=20 | chosen_tmdb=1368314 | path=title_first_match
- key=investment generation | status=dropped | reason=no_candidates | rep_title=investment generation | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=kidnapped | status=mapped | reason=title_first_match | rep_title=kidnapped | rows=3 | parsed_year= | candidates=20 | chosen_tmdb=801112 | path=title_first_match
- key=late shift | status=mapped | reason=title_first_match | rep_title=late shift | rows=1 | parsed_year= | candidates=4 | chosen_tmdb=1356670 | path=title_first_match
- key=kupa rashit | status=dropped | reason=no_candidates | rep_title=kupa rashit | rows=618 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=invite | status=mapped | reason=title_first_match | rep_title=the invite | rows=3 | parsed_year=2026 | candidates=20 | chosen_tmdb=950028 | path=title_first_match
- key=colonia 75 | status=mapped | reason=fallback_first_candidate | rep_title=colonia 75 | rows=35 | parsed_year=2025 | candidates=1 | chosen_tmdb=1171153 | path=fallback_first_candidate
- key=just an illusion | status=mapped | reason=title_first_match | rep_title=just an illusion | rows=12 | parsed_year=2026 | candidates=3 | chosen_tmdb=1404684 | path=title_first_match
