- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 516
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-07T01:36:41.336574+00:00
Finished (UTC): 2026-07-07T01:41:53.444709+00:00
Duration Seconds: 312.1081
Generated At (UTC): 2026-07-07T01:41:53.444913+00:00

SUMMARY COUNTS
- dropped: 10
- mapped: 76
- merged: 59

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 59
- tmdb_choice|mapped|director_match: 7
- tmdb_choice|mapped|fallback_first_candidate: 7
- tmdb_choice|mapped|runtime_match: 3
- tmdb_choice|mapped|title_first_match: 43
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 3
- tmdb_search|dropped|no_candidates: 10
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=planet final | status=mapped | reason=fallback_first_candidate | rep_title=planet final | rows=6 | parsed_year= | candidates=5 | chosen_tmdb=16067 | path=fallback_first_candidate
- key=i swear | status=mapped | reason=title_first_match | rep_title=i swear | rows=155 | parsed_year=2025 | candidates=20 | chosen_tmdb=1317149 | path=title_first_match
- key=david | status=mapped | reason=title_first_match | rep_title=david | rows=2 | parsed_year=2025 | candidates=24 | chosen_tmdb=1167307 | path=title_first_match
- key=koln 75 | status=mapped | reason=title_first_match | rep_title=koln 75 | rows=35 | parsed_year=2025 | candidates=1 | chosen_tmdb=1171153 | path=title_first_match
- key=spongebob movie search for squarepants | status=mapped | reason=title_first_match | rep_title=the spongebob movie search for squarepants | rows=6 | parsed_year=2025 | candidates=1 | chosen_tmdb=991494 | path=title_first_match
- key=bambi the reckoning | status=mapped | reason=title_first_match | rep_title=bambi the reckoning | rows=41 | parsed_year=2025 | candidates=1 | chosen_tmdb=1049942 | path=title_first_match
- key=project hail mary | status=mapped | reason=title_first_match | rep_title=project hail mary | rows=9 | parsed_year=2026 | candidates=1 | chosen_tmdb=687163 | path=title_first_match
- key=no signal | status=mapped | reason=title_first_match | rep_title=no signal | rows=12 | parsed_year=2025 | candidates=20 | chosen_tmdb=1284787 | path=title_first_match
- key=zootopia 2 | status=mapped | reason=title_first_match | rep_title=zootopia 2 | rows=2 | parsed_year=2025 | candidates=1 | chosen_tmdb=1084242 | path=title_first_match
- key=fleak | status=mapped | reason=title_first_match | rep_title=fleak | rows=1 | parsed_year=2025 | candidates=1 | chosen_tmdb=680770 | path=title_first_match
- key=goat | status=mapped | reason=title_first_match | rep_title=goat | rows=9 | parsed_year=2026 | candidates=20 | chosen_tmdb=1297842 | path=title_first_match
- key=last whale singer | status=mapped | reason=fallback_first_candidate | rep_title=the last whale singer | rows=8 | parsed_year=2025 | candidates=2 | chosen_tmdb=677558 | path=fallback_first_candidate
- key=spiked | status=mapped | reason=title_first_match | rep_title=spiked | rows=10 | parsed_year=2025 | candidates=9 | chosen_tmdb=1470334 | path=title_first_match
- key=2planet semi | status=dropped | reason=no_candidates | rep_title=2planet semi | rows=6 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=fantasy life | status=mapped | reason=director_match | rep_title=fantasy life | rows=2 | parsed_year=2025 | candidates=5 | chosen_tmdb=1421977 | path=director_match
- key=three men and vilma | status=mapped | reason=director_match | rep_title=three men and vilma | rows=22 | parsed_year=2025 | candidates=1 | chosen_tmdb=1340922 | path=director_match
- key=madly | status=mapped | reason=title_first_match | rep_title=madly | rows=2 | parsed_year=2025 | candidates=20 | chosen_tmdb=1500272 | path=title_first_match
- key=jungle beat 2 the past | status=mapped | reason=title_first_match | rep_title=jungle beat 2 the past | rows=2 | parsed_year=2025 | candidates=1 | chosen_tmdb=1453180 | path=title_first_match
- key=colonia 75 | status=mapped | reason=fallback_first_candidate | rep_title=colonia 75 | rows=12 | parsed_year=2025 | candidates=1 | chosen_tmdb=1171153 | path=fallback_first_candidate
- key=la grazia | status=mapped | reason=title_first_match | rep_title=la grazia | rows=16 | parsed_year=2025 | candidates=12 | chosen_tmdb=1397364 | path=title_first_match
- key=minions monsters english | status=dropped | reason=no_candidates | rep_title=minions monsters english | rows=31 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=just an illusion | status=mapped | reason=title_first_match | rep_title=just an illusion | rows=2 | parsed_year=2026 | candidates=3 | chosen_tmdb=1404684 | path=title_first_match
- key=rental family | status=mapped | reason=title_first_match | rep_title=rental family | rows=1 | parsed_year=2025 | candidates=4 | chosen_tmdb=1208348 | path=title_first_match
- key=dream high | status=mapped | reason=title_first_match | rep_title=dream high | rows=2 | parsed_year=2026 | candidates=7 | chosen_tmdb=1569872 | path=title_first_match
- key=spiderman brand new day | status=mapped | reason=fallback_first_candidate | rep_title=spiderman brand new day | rows=271 | parsed_year= | candidates=1 | chosen_tmdb=969681 | path=fallback_first_candidate
- key=get out | status=mapped | reason=title_first_match | rep_title=the get out | rows=57 | parsed_year=2026 | candidates=20 | chosen_tmdb=1279493 | path=title_first_match
- key=des minions et des monstres | status=mapped | reason=fallback_first_candidate | rep_title=des minions et des monstres | rows=18 | parsed_year= | candidates=1 | chosen_tmdb=1315772 | path=fallback_first_candidate
- key=passenger | status=mapped | reason=title_first_match | rep_title=passenger | rows=2 | parsed_year= | candidates=20 | chosen_tmdb=1368314 | path=title_first_match
- key=great lillian hall | status=mapped | reason=title_first_match | rep_title=the great lillian hall | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=800513 | path=title_first_match
- key=animal farm | status=mapped | reason=title_first_match | rep_title=animal farm | rows=3 | parsed_year= | candidates=16 | chosen_tmdb=539745 | path=title_first_match
- key=four letters of love | status=mapped | reason=title_first_match | rep_title=four letters of love | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=1293244 | path=title_first_match
- key=for the love of a woman | status=mapped | reason=runtime_match | rep_title=for the love of a woman | rows=15 | parsed_year=2025 | candidates=2 | chosen_tmdb=1143204 | path=runtime_match
- key=investment generation | status=dropped | reason=no_candidates | rep_title=investment generation | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=ilanot | status=mapped | reason=title_first_match | rep_title=ilanot | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=1663161 | path=title_first_match
- key=mandalorian grogu | status=mapped | reason=runtime_match | rep_title=the mandalorian grogu | rows=6 | parsed_year= | candidates=1 | chosen_tmdb=1228710 | path=runtime_match
- key=tmdb_fix:1108427 | status=mapped | reason=tmdb_fix_override | rep_title=moana live action | rows=201 | parsed_year=2026 | candidates=0 | chosen_tmdb=1108427 | path=tmdb_fix_override
- key=tmdb_fix:1339713 | status=mapped | reason=tmdb_fix_override | rep_title=obsession | rows=23 | parsed_year=2025 | candidates=0 | chosen_tmdb=1339713 | path=tmdb_fix_override
- key=tmdb_fix:1368337 | status=mapped | reason=tmdb_fix_override | rep_title=the odyssey | rows=52 | parsed_year=2026 | candidates=0 | chosen_tmdb=1368337 | path=tmdb_fix_override
- key=spider man brand new day | status=mapped | reason=title_first_match | rep_title=spider man brand new day | rows=97 | parsed_year=2026 | candidates=1 | chosen_tmdb=969681 | path=title_first_match
- key=movieretro | status=dropped | reason=no_candidates | rep_title=movieretro | rows=5 | parsed_year=1991 | candidates=0 | chosen_tmdb= | path=
