- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 491
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-17T05:27:27.981378+00:00
Finished (UTC): 2026-06-17T05:35:01.669778+00:00
Duration Seconds: 453.6884
Generated At (UTC): 2026-06-17T05:35:01.670024+00:00

SUMMARY COUNTS
- dropped: 12
- mapped: 95
- merged: 79

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 79
- group_filter|dropped|skip_token: 1
- tmdb_choice|mapped|director_match: 4
- tmdb_choice|mapped|fallback_first_candidate: 9
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 59
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 4
- tmdb_search|dropped|no_candidates: 11
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=fleak | status=mapped | reason=title_first_match | rep_title=fleak | rows=3 | parsed_year=2025 | candidates=1 | chosen_tmdb=680770 | path=title_first_match
- key=last whale singer | status=mapped | reason=fallback_first_candidate | rep_title=the last whale singer | rows=41 | parsed_year=2025 | candidates=2 | chosen_tmdb=677558 | path=fallback_first_candidate
- key=ilanot | status=mapped | reason=runtime_match | rep_title=ilanot | rows=26 | parsed_year=2026 | candidates=1 | chosen_tmdb=1663161 | path=runtime_match
- key=12 hours in october | status=mapped | reason=tmdb_fix_override | rep_title=12 hours in october | rows=22 | parsed_year=2026 | candidates=0 | chosen_tmdb=1566665 | path=tmdb_fix_override
- key=colours of time | status=mapped | reason=title_first_match | rep_title=colours of time | rows=133 | parsed_year=2025 | candidates=2 | chosen_tmdb=1235304 | path=title_first_match
- key=goat | status=mapped | reason=title_first_match | rep_title=goat | rows=12 | parsed_year=2026 | candidates=20 | chosen_tmdb=1297842 | path=title_first_match
- key=bear clow camp | status=dropped | reason=no_candidates | rep_title=bear clow camp | rows=19 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=heaven and earth | status=mapped | reason=runtime_match | rep_title=heaven and earth | rows=33 | parsed_year= | candidates=20 | chosen_tmdb=1598462 | path=runtime_match
- key=masters of the universe | status=mapped | reason=title_first_match | rep_title=masters of the universe | rows=55 | parsed_year=2026 | candidates=11 | chosen_tmdb=454639 | path=title_first_match
- key=devil wears prada 2 | status=mapped | reason=tmdb_fix_override | rep_title=the devil wears prada 2 | rows=83 | parsed_year=2026 | candidates=0 | chosen_tmdb=1314481 | path=tmdb_fix_override
- key=mandalorian and grogu | status=mapped | reason=title_first_match | rep_title=the mandalorian and grogu | rows=67 | parsed_year=2026 | candidates=1 | chosen_tmdb=1228710 | path=title_first_match
- key=per amore di una donna | status=mapped | reason=title_first_match | rep_title=per amore di una donna | rows=9 | parsed_year=2025 | candidates=1 | chosen_tmdb=1143204 | path=title_first_match
- key=spongebob movie search for squarepants | status=mapped | reason=title_first_match | rep_title=the spongebob movie search for squarepants | rows=3 | parsed_year=2025 | candidates=1 | chosen_tmdb=991494 | path=title_first_match
- key=in the grey | status=mapped | reason=title_first_match | rep_title=in the grey | rows=16 | parsed_year=2026 | candidates=20 | chosen_tmdb=1122573 | path=title_first_match
- key=life without credit | status=mapped | reason=title_first_match | rep_title=life without credit | rows=16 | parsed_year=2025 | candidates=1 | chosen_tmdb=1398406 | path=title_first_match
- key=june and john | status=mapped | reason=title_first_match | rep_title=june and john | rows=1 | parsed_year=2025 | candidates=2 | chosen_tmdb=1216571 | path=title_first_match
- key=four letters of love | status=mapped | reason=director_match | rep_title=four letters of love | rows=12 | parsed_year=2024 | candidates=1 | chosen_tmdb=1293244 | path=director_match
- key=la grazia | status=mapped | reason=title_first_match | rep_title=la grazia | rows=49 | parsed_year=2025 | candidates=12 | chosen_tmdb=1397364 | path=title_first_match
- key=project hail mary | status=mapped | reason=title_first_match | rep_title=project hail mary | rows=10 | parsed_year=2026 | candidates=1 | chosen_tmdb=687163 | path=title_first_match
- key=marianas room | status=mapped | reason=title_first_match | rep_title=marianas room | rows=11 | parsed_year=2025 | candidates=1 | chosen_tmdb=1000828 | path=title_first_match
- key=jungle beat 2 the past | status=mapped | reason=title_first_match | rep_title=jungle beat 2 the past | rows=1 | parsed_year=2025 | candidates=1 | chosen_tmdb=1453180 | path=title_first_match
- key=late shift | status=mapped | reason=title_first_match | rep_title=late shift | rows=6 | parsed_year=2025 | candidates=4 | chosen_tmdb=1356670 | path=title_first_match
- key=planet nor fra | status=dropped | reason=no_candidates | rep_title=planet nor fra | rows=2 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=super mario galaxy movie | status=mapped | reason=fallback_first_candidate | rep_title=super mario galaxy movie | rows=35 | parsed_year=2026 | candidates=1 | chosen_tmdb=1226863 | path=fallback_first_candidate
- key=scary movie | status=mapped | reason=title_first_match | rep_title=scary movie | rows=120 | parsed_year=2026 | candidates=20 | chosen_tmdb=1273221 | path=title_first_match
- key=odyssey | status=mapped | reason=tmdb_fix_override | rep_title=the odyssey | rows=170 | parsed_year=2026 | candidates=0 | chosen_tmdb=1368337 | path=tmdb_fix_override
- key=choral | status=mapped | reason=title_first_match | rep_title=the choral | rows=9 | parsed_year=2025 | candidates=11 | chosen_tmdb=1262815 | path=title_first_match
- key=2 | status=dropped | reason=skip_token | rep_title= | rows=23 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=movieretro | status=dropped | reason=no_candidates | rep_title=movieretro | rows=10 | parsed_year=1984 | candidates=0 | chosen_tmdb= | path=
- key=animal farm | status=mapped | reason=title_first_match | rep_title=animal farm | rows=57 | parsed_year=2026 | candidates=16 | chosen_tmdb=539745 | path=title_first_match
- key=for the love of a woman | status=dropped | reason=no_candidates | rep_title=for the love of a woman | rows=12 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
