showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,HAMNET,המנט,,,,,,,,,2026-01-22,,125,All,,Cinema City,144
,Bull Run,הכריש מוול סטריט,,,,,,,,,2026-01-22,,97,,,Cinema City,144
,Mercy,הנאשם,,,,,,,,,2026-01-22,,100,,,Cinema City,144
,מחזמר – בגלל הרוח-התיאטרון העברי,מחזמר – בגלל הרוח-התיאטרון העברי,,,,,,,,,2026-01-22,,90,All,,Cinema City,144
,Le rendez-vous de l'été,הקיץ ההוא בפריז,,,,,,,,,2026-01-22,,77,All,,Cinema City,144
,עולם האספנות וחגיגות 30 שנה לפוקימון,עולם האספנות וחגיגות 30 שנה לפוקימון,,,,,,,,,2026-01-23,,90,All,,Cinema City,144
,ועידת המשקיעים החדשים 2-בהנחיית גיא נתן,ועידת המשקיעים החדשים 2-בהנחיית גיא נתן,,,,,,,,,2026-01-23,,240,All,,Cinema City,144
,גיא נתן – כנס ינואר 2026,גיא נתן – כנס ינואר 2026,,,,,,,,,2026-01-28,,120,All,,Cinema City,144
,על כלבים ואנשים,על כלבים ואנשים,,,,,,,,,2026-01-29,,82,All,,Cinema City,144
,A Pale View of Hills,נוף גבעות חיוור,,,,,,,,,2026-01-29,,123,All,,Cinema City,144
,SHELTER,המגן,,,,,,,,,2026-01-29,,107,,,Cinema City,144
,Send Help,הצילו,,,,,,,,,2026-01-29,,130,,,Cinema City,144
,Christy,כריסטי,,,,,,,,,2026-01-29,,135,14+,,Cinema City,144
,חשבונות שמיים,חשבונות שמיים,,,,,,,,,2026-02-05,,87,All,,Cinema City,144
,Return to Silent Hill,בחזרה לסיילנט היל,,,,,,,,,2026-02-05,,106,,,Cinema City,144
,Stray Kids : The dominATE Experience,Stray Kids : The dominATE Experience,,,,,,,,,2026-02-05,,145,,,Cinema City,144
,חשבונות שמיים,חשבונות שמיים-הקרנה ושיחה עם יוצרת הסרט,,,,,,,,,2026-02-05,,130,All,,Cinema City,144
,"Die, My Love","תמות, אהובי",,,,,,,,,2026-02-05,,119,,,Cinema City,144
,SOLO MIO,להתאהב ברומא,,,,,,,,,2026-02-12,,100,,,Cinema City,144
,Kill Bill: The Whole Bloody Affair,להרוג את ביל: סיפור הדמים המלא,,,,,,,,,2026-02-12,,275,,,Cinema City,144
,ADDITION,לאהוב את גרייס,,,,,,,,,2026-02-12,,90,,,Cinema City,144
,DJ Ahmet,להזיז הרים,,,,,,,,,2026-02-12,,99,All,,Cinema City,144
,Wuthering Heights,אנקת גבהים,,,,,,,,,2026-02-12,,130,,,Cinema City,144
,Crime 101,פשע 101,,,,,,,,,2026-02-19,,135,,,Cinema City,144
,הולה צ'או,הולה צ'או,,,,,,,,,2026-02-19,,85,9+,,Cinema City,144
,Follemente,השיגעון שלנו,,,,,,,,,2026-02-19,,97,14+,,Cinema City,144
,"Good Luck, Have Fun, Don't Die","בהצלחה, תהנו, אל תמותו",,,,,,,,,2026-02-19,,134,,,Cinema City,144
,EPiC: Elvis Presley in Concert,Epic: אלביס פרסלי בהופעה,,,,,,,,,2026-02-26,,100,,,Cinema City,144
,DAVID,דויד,,,,,,,,,2026-02-26,,109,,,Cinema City,144
,אסי ויעל,אסי ויעל,,,,,,,,,2026-02-26,,60,16+,,Cinema City,144
,Stand Your Ground,השורד אחרון 2,,,,,,,,,2026-02-26,,99,,,Cinema City,144
,Goat,להעז בגדול,,,,,,,,,2026-02-26,,120,,,Cinema City,144
,Scarlet,Scarlet,,,,,,,,,2026-02-26,,111,,,Cinema City,144
,7 Scream,צעקה 7,,,,,,,,,2026-02-26,,130,,,Cinema City,144
,Giant,ענק,,,,,,,,,2026-03-05,,120,,,Cinema City,144
,Hoppers,קופצים בראש,,,,,,,,,2026-03-05,,120,,,Cinema City,144
,הסתברות לאהבה,הסתברות לאהבה,,,,,,,,,2026-03-05,,94,,,Cinema City,144
,הצגת ילדים - פילים בכל הצבעים,הצגת ילדים - פילים בכל הצבעים,,,,,,,,,2026-03-07,,60,All,,Cinema City,144
,Reminders Of Him,מזכרת ממנו,,,,,,,,,2026-03-12,,130,,,Cinema City,144
,Project Hail Mary,פרוייקט הייל מרי,,,,,,,,,2026-03-19,,130,,,Cinema City,144
,June and John,ג'ון וג'ון,,,,,,,,,2026-04-02,,92,,,Cinema City,144
,SHELL,שקר היופי,,,,,,,,,2026-04-02,,100,16+,,Cinema City,144
,Super Mario Galaxy,סופר מריו גלקסי הסרט,,,,,,,,,2026-04-02,,120,,,Cinema City,144
,הצגת ילדים - הלב-מרקו,הצגת ילדים - הלב-מרקו,,,,,,,,,2026-04-04,,90,All,,Cinema City,144
,Ready or Not: Here I Come,"מי שעומד מאחורי 2,1...",,,,,,,,,2026-04-09,,130,,,Cinema City,144
,You Me & Tuscany,"אני, אתה וטוסקנה",,,,,,,,,2026-04-09,,130,,,Cinema City,144
,MIchael,מייקל,,,,,,,,,2026-04-16,,130,,,Cinema City,144
,MARIANA’S ROOM,חדרה של מריאנה,,,,,,,,,2026-04-16,,131,,,Cinema City,144
,"IN THE HELL OF KABUL: 13 DAYS, 13 NIGHTS",הבריחה מקאבול,,,,,,,,,2026-04-16,,112,All,,Cinema City,144
,The Devil Wears Prada 2,השטן לובשת פראדה 2,,,,,,,,,2026-04-30,,130,,,Cinema City,144
,Mortal Kombat II,מורטל קומבט II,,,,,,,,,2026-05-14,,130,,,Cinema City,144
