- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 496
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-19T01:43:20.970645+00:00
Finished (UTC): 2026-06-19T01:49:09.936608+00:00
Duration Seconds: 348.966
Generated At (UTC): 2026-06-19T01:49:09.936822+00:00

SUMMARY COUNTS
- dropped: 12
- mapped: 91
- merged: 72

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 72
- tmdb_choice|mapped|director_match: 4
- tmdb_choice|mapped|fallback_first_candidate: 7
- tmdb_choice|mapped|runtime_match: 4
- tmdb_choice|mapped|title_first_match: 60
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 1
- tmdb_search|dropped|no_candidates: 12
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=passenger | status=mapped | reason=title_first_match | rep_title=passenger | rows=9 | parsed_year=2026 | candidates=20 | chosen_tmdb=1368314 | path=title_first_match
- key=four letters of love | status=mapped | reason=director_match | rep_title=four letters of love | rows=12 | parsed_year=2024 | candidates=1 | chosen_tmdb=1293244 | path=director_match
- key=not without hope | status=mapped | reason=title_first_match | rep_title=not without hope | rows=19 | parsed_year=2025 | candidates=1 | chosen_tmdb=339849 | path=title_first_match
- key=drama | status=mapped | reason=title_first_match | rep_title=the drama | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1325734 | path=title_first_match
- key=cocktail 2 | status=mapped | reason=title_first_match | rep_title=cocktail 2 | rows=18 | parsed_year=2026 | candidates=2 | chosen_tmdb=1392469 | path=title_first_match
- key=late shift | status=mapped | reason=title_first_match | rep_title=late shift | rows=7 | parsed_year=2025 | candidates=4 | chosen_tmdb=1356670 | path=title_first_match
- key=for the love of a woman | status=dropped | reason=no_candidates | rep_title=for the love of a woman | rows=2 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=investment generation | status=dropped | reason=no_candidates | rep_title=investment generation | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=fantasy life | status=mapped | reason=director_match | rep_title=fantasy life | rows=31 | parsed_year=2025 | candidates=5 | chosen_tmdb=1421977 | path=director_match
- key=tel aviv beirut | status=mapped | reason=fallback_first_candidate | rep_title=tel aviv beirut | rows=6 | parsed_year=2026 | candidates=1 | chosen_tmdb=1030210 | path=fallback_first_candidate
- key=kupa rashit | status=dropped | reason=no_candidates | rep_title=kupa rashit | rows=768 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=mandalorian and grogu | status=mapped | reason=title_first_match | rep_title=the mandalorian and grogu | rows=47 | parsed_year=2026 | candidates=1 | chosen_tmdb=1228710 | path=title_first_match
- key=animel farm | status=dropped | reason=no_candidates | rep_title=animel farm | rows=19 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=no signal | status=mapped | reason=title_first_match | rep_title=no signal | rows=11 | parsed_year=2025 | candidates=20 | chosen_tmdb=1284787 | path=title_first_match
- key=fleak | status=mapped | reason=title_first_match | rep_title=fleak | rows=3 | parsed_year=2025 | candidates=1 | chosen_tmdb=680770 | path=title_first_match
- key=la grazia | status=mapped | reason=title_first_match | rep_title=la grazia | rows=43 | parsed_year=2025 | candidates=12 | chosen_tmdb=1397364 | path=title_first_match
- key=per amore di una donna | status=mapped | reason=title_first_match | rep_title=per amore di una donna | rows=9 | parsed_year=2025 | candidates=1 | chosen_tmdb=1143204 | path=title_first_match
- key=zootopia 2 | status=mapped | reason=title_first_match | rep_title=zootopia 2 | rows=8 | parsed_year=2025 | candidates=1 | chosen_tmdb=1084242 | path=title_first_match
- key=june and john | status=mapped | reason=title_first_match | rep_title=june and john | rows=1 | parsed_year=2025 | candidates=2 | chosen_tmdb=1216571 | path=title_first_match
- key=planet nor fra | status=dropped | reason=no_candidates | rep_title=planet nor fra | rows=2 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=jungle beat 2 the past | status=mapped | reason=title_first_match | rep_title=jungle beat 2 the past | rows=1 | parsed_year=2025 | candidates=1 | chosen_tmdb=1453180 | path=title_first_match
