- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 611
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-08-25T01:40:03.005946+00:00
Finished (UTC): 2026-08-25T01:40:18.508802+00:00
Duration Seconds: 15.5029
Generated At (UTC): 2026-08-25T01:40:18.509008+00:00

SUMMARY COUNTS
- dropped: 10
- mapped: 5
- merged: 1
- skipped: 139

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 1
- enrich|mapped|enriched: 1
- row_filter|skipped|already_added: 132
- row_filter|skipped|past_release_date: 7
- tmdb_choice|mapped|title_first_match: 2
- tmdb_search|dropped|no_candidates: 10
- write|mapped|marked_added: 1
- write|mapped|upserted: 1

COMING SOONS DETAILS
- [mapped] write | title= | key=allSoons | reason=marked_added | tmdb=
- [mapped] write | title= | key=finalSoons | reason=upserted | tmdb=
- [skipped] row_filter | title=10 | key=850b3af2-32ee-432c-bbdf-3ccefaa5fd6b | reason=already_added | tmdb=
- [skipped] row_filter | title=12 hours in october | key=8df37696-2648-4cf0-af20-bee24d14e829 | reason=already_added | tmdb=
- [skipped] row_filter | title=2 | key=cfde40e9-7c45-47c8-9362-dcd4e1b7df44 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=338 | key=1b2f77f8-9d98-41bd-bbf7-38bedc2dd305 | reason=already_added | tmdb=
- [skipped] row_filter | title=50 | key=81bdf4c3-b033-4742-b0de-cba68169b504 | reason=already_added | tmdb=
- [skipped] row_filter | title=a brief affair | key=1f71f64a-6424-4a0a-906e-63ed7bad0080 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=a few good men | key=2a2027d2-f8df-4d54-a7f7-7e32daa2123a | reason=already_added | tmdb=
- [skipped] row_filter | title=a missing part | key=21e4e2ff-edbc-4f72-bc31-ec935acc33ca | reason=already_added | tmdb=
- [skipped] row_filter | title=anandi gopal | key=72c10e23-993e-4e45-af56-c207f459f8c6 | reason=already_added | tmdb=
- [skipped] row_filter | title=angry birds 3 | key=94123750-d686-4424-bd76-634243cf4cbf | reason=already_added | tmdb=
- [skipped] row_filter | title=at work | key=8d82b317-28d4-4455-93a8-e34a62cd5d2f | reason=already_added | tmdb=
- [skipped] row_filter | title=aulcie | key=9c39588f-0923-48da-bbf2-b23e1ced74fd | reason=already_added | tmdb=
- [skipped] row_filter | title=avengers doomsday | key=dcbf0477-5c20-4b09-a9ad-f59069fad274 | reason=already_added | tmdb=
- [skipped] row_filter | title=band together | key=6760250c-73c9-4fcb-8c67-83f12f01187b | reason=already_added | tmdb= x2
- [skipped] row_filter | title=berlin hero | key=4442a00d-07ec-40cb-8447-321f7a5bda9e | reason=already_added | tmdb=
