- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 490
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-16T01:28:40.087199+00:00
Finished (UTC): 2026-06-16T01:35:22.479377+00:00
Duration Seconds: 402.3922
Generated At (UTC): 2026-06-16T01:35:22.479653+00:00

SUMMARY COUNTS
- dropped: 13
- mapped: 108
- merged: 86

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 86
- group_filter|dropped|skip_token: 1
- tmdb_choice|mapped|director_match: 3
- tmdb_choice|mapped|fallback_first_candidate: 10
- tmdb_choice|mapped|runtime_match: 7
- tmdb_choice|mapped|title_first_match: 67
- tmdb_choice|mapped|tmdb_fix_id_match: 3
- tmdb_choice|mapped|tmdb_fix_override: 5
- tmdb_search|dropped|no_candidates: 12
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=sheep detectives | status=mapped | reason=title_first_match | rep_title=the sheep detectives | rows=52 | parsed_year=2026 | candidates=1 | chosen_tmdb=1301421 | path=title_first_match
- key=choral | status=mapped | reason=title_first_match | rep_title=the choral | rows=21 | parsed_year=2025 | candidates=11 | chosen_tmdb=1262815 | path=title_first_match
- key=late shift | status=mapped | reason=title_first_match | rep_title=late shift | rows=15 | parsed_year=2025 | candidates=4 | chosen_tmdb=1356670 | path=title_first_match
- key=drama | status=mapped | reason=title_first_match | rep_title=the drama | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1325734 | path=title_first_match
- key=normal | status=mapped | reason=title_first_match | rep_title=normal | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1242332 | path=title_first_match
- key=four letters of love | status=mapped | reason=director_match | rep_title=four letters of love | rows=29 | parsed_year=2024 | candidates=1 | chosen_tmdb=1293244 | path=director_match
- key=kpop demon hunters sing along | status=mapped | reason=runtime_match | rep_title=kpop demon hunters sing along | rows=5 | parsed_year= | candidates=1 | chosen_tmdb=803796 | path=runtime_match
- key=la grazia | status=mapped | reason=title_first_match | rep_title=la grazia | rows=74 | parsed_year=2025 | candidates=12 | chosen_tmdb=1397364 | path=title_first_match
- key=solo mio | status=mapped | reason=title_first_match | rep_title=solo mio | rows=1 | parsed_year= | candidates=3 | chosen_tmdb=1291335 | path=title_first_match
- key=shelter | status=mapped | reason=title_first_match | rep_title=shelter | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1290821 | path=title_first_match
- key=eden | status=mapped | reason=tmdb_fix_id_match | rep_title=eden | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1042834 | path=tmdb_fix_id_match
- key=fantasy life | status=mapped | reason=director_match | rep_title=fantasy life | rows=61 | parsed_year=2025 | candidates=5 | chosen_tmdb=1421977 | path=director_match
- key=freuds last session | status=mapped | reason=title_first_match | rep_title=freuds last session | rows=4 | parsed_year=2023 | candidates=1 | chosen_tmdb=1025491 | path=title_first_match
- key=subservience | status=mapped | reason=title_first_match | rep_title=subservience | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=1064028 | path=title_first_match
- key=two women | status=mapped | reason=title_first_match | rep_title=two women | rows=4 | parsed_year=2025 | candidates=20 | chosen_tmdb=1073588 | path=title_first_match
- key=kupa rashit | status=dropped | reason=no_candidates | rep_title=kupa rashit | rows=897 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=per amore di una donna | status=mapped | reason=title_first_match | rep_title=per amore di una donna | rows=9 | parsed_year=2025 | candidates=1 | chosen_tmdb=1143204 | path=title_first_match
- key=toy story 5 | status=mapped | reason=tmdb_fix_id_match | rep_title=toy story 5 | rows=936 | parsed_year=2026 | candidates=2 | chosen_tmdb=1084244 | path=tmdb_fix_id_match
- key=bambi the reckoning | status=mapped | reason=title_first_match | rep_title=bambi the reckoning | rows=173 | parsed_year=2025 | candidates=1 | chosen_tmdb=1049942 | path=title_first_match
- key=tel aviv beirut | status=mapped | reason=fallback_first_candidate | rep_title=tel aviv beirut | rows=30 | parsed_year=2026 | candidates=1 | chosen_tmdb=1030210 | path=fallback_first_candidate
- key=mortal kombat ii | status=mapped | reason=title_first_match | rep_title=mortal kombat ii | rows=5 | parsed_year=2026 | candidates=3 | chosen_tmdb=931285 | path=title_first_match
- key=sentimental value | status=mapped | reason=title_first_match | rep_title=sentimental value | rows=178 | parsed_year=2025 | candidates=4 | chosen_tmdb=1124566 | path=title_first_match
- key=life without credit | status=mapped | reason=title_first_match | rep_title=life without credit | rows=22 | parsed_year=2025 | candidates=1 | chosen_tmdb=1398406 | path=title_first_match
- key=koln 75 | status=mapped | reason=title_first_match | rep_title=koln 75 | rows=151 | parsed_year= | candidates=1 | chosen_tmdb=1171153 | path=title_first_match
- key=passenger | status=mapped | reason=title_first_match | rep_title=passenger | rows=8 | parsed_year=2026 | candidates=20 | chosen_tmdb=1368314 | path=title_first_match
- key=heaven and earth | status=mapped | reason=runtime_match | rep_title=heaven and earth | rows=35 | parsed_year= | candidates=20 | chosen_tmdb=1598462 | path=runtime_match
- key=three men and vilma | status=mapped | reason=director_match | rep_title=three men and vilma | rows=188 | parsed_year=2024 | candidates=1 | chosen_tmdb=1340922 | path=director_match
- key=no signal | status=mapped | reason=title_first_match | rep_title=no signal | rows=6 | parsed_year=2025 | candidates=20 | chosen_tmdb=1284787 | path=title_first_match
- key=mandalorian and grogu | status=mapped | reason=title_first_match | rep_title=the mandalorian and grogu | rows=86 | parsed_year=2026 | candidates=1 | chosen_tmdb=1228710 | path=title_first_match
- key=animel farm | status=dropped | reason=no_candidates | rep_title=animel farm | rows=31 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=12 hours in october | status=mapped | reason=tmdb_fix_override | rep_title=12 hours in october | rows=25 | parsed_year=2026 | candidates=0 | chosen_tmdb=1566665 | path=tmdb_fix_override
- key=jaffa 2 | status=mapped | reason=fallback_first_candidate | rep_title=jaffa 2 | rows=46 | parsed_year=2026 | candidates=1 | chosen_tmdb=1709961 | path=fallback_first_candidate
- key=spongebob movie search for squarepants | status=mapped | reason=title_first_match | rep_title=the spongebob movie search for squarepants | rows=3 | parsed_year=2025 | candidates=1 | chosen_tmdb=991494 | path=title_first_match
- key=underwater speculations | status=mapped | reason=title_first_match | rep_title=underwater speculations | rows=38 | parsed_year=2025 | candidates=1 | chosen_tmdb=1546651 | path=title_first_match
- key=kpop demon hunters | status=mapped | reason=title_first_match | rep_title=kpop demon hunters | rows=8 | parsed_year=2025 | candidates=4 | chosen_tmdb=803796 | path=title_first_match
- key=zootopia 2 | status=mapped | reason=title_first_match | rep_title=zootopia 2 | rows=10 | parsed_year=2025 | candidates=1 | chosen_tmdb=1084242 | path=title_first_match
- key=fleak | status=mapped | reason=title_first_match | rep_title=fleak | rows=4 | parsed_year=2025 | candidates=1 | chosen_tmdb=680770 | path=title_first_match
